Quality	Count	When Property of A	When Property of B
over-ambitious	3	upstage, are_underestimated_by, blackmail, compete_with, take_advantage_of	are_upstaged_by, are_usurped_by, underestimate, cede_power_to, are_used_by
fun-loving	3	laugh_at, joke_about	drink_with
strong-willed	3	resist, stand_up_to, struggle_against	are_defeated_by
loose-lipped	3	leak_to, snitch_to, tip_off	are_informed_by
indiscrete	3	leak_to, snitch_to, tip_off	are_informed_by
ignorant	3	fail_to_impress	are_unimpressed_by, are_unimpressed_with
empathetic	3	identify_with	are_moved_by
selfless	3	die_for	sacrifice
nonconformist	3	disobey	are_disobeyed_by, scold, chastise
clean-cut	2	are_trusted_by	trust
madcap	2	embarrass, entertain, joke_about, laugh_at	are_embarrassed_by, are_entertained_by
over-the-hill	2	fail_to_impress, fail_to_deliver_for,  disappoint, embarrass	
self-indulgent	2	are_spoiled_by	spoil, cater_to, attend_to, wait_on
free-spirited	2	stand_up_to, resist, challenge, campaign_against, disobey	
upright	2	inspire	are_inspired_by
restless	2	let_go_of, abandon	are_abandoned_by
proficient	2	impress	are_impressed_by
hard-drinking	2	drink_with	drink_with
vicious	2	attack, assault, savage, are_arrested_for_hurting, are_arrested_for_killing	are_attacked_by, are_assaulted_by, are_savaged_by, are_bitten_by
fluid	2		
acquisitive	2	steal_from, rob, defraud	are_defrauded_by
taciturn	2	ignore	are_ignored_by
gleeful	2	play_with	
detached	2	ignore	are_ignored_by
genocidal	2	kill, murder, round_up	are_killed_by
credulous	2	believe_in, trust, are_persuaded_by	are_trusted_by
cool-headed	2		
laconic	2		are_intrigued_by
disaffected	2	resent, lose_faith_in, are_disillusioned_by	disillusion, lose_favor_with
nurturing	2	nurture, watch_over, look_after, breastfeed	are_nurtured_by, are_raised_by
greasy	2	disgust, are_dumped_by	are_disgusted_by
priapic	2	disgust, seduce, embarrass, chase_after, sleep_with, flirt_with	are_disgusted_by, are_offended_by, are_rejected_by, flee_from, are_deflowered_by
blasphemous	2	are_defrocked_by, are_excommunicated_by, are_expelled_by	punish, scold, chastise, excommunicate
randy	2	disgust, seduce, embarrass, chase_after, sleep_with, flirt_with	are_disgusted_by, are_offended_by, are_rejected_by, flee_from, are_deflowered_by
lovable	2	are_loved_by	love, admire, fall_in_love_with
disturbing	2		
chirpy	2	look_up_to, trust, confide_in, show_loyalty_to, champion	are_trusted_by, are_supported_by, are_championed_by
prim	2		
middle-class	2	condescend_to, preach_to	are_bored_by
stupid	2	copy, imitate, mimic, fail_to_impress, fail_to_deliver_for,  disappoint, are_fooled_by, are_tricked_by	are_bored_by, are_bored_with, joke_about, tune_out, are_unimpressed_with, are_copied_by, are_imitated_by, are_embarrassed_by, exploit, take_advantage_of, manipulate, trick, fool
psychedelic	2	mystify	are_intrigued_by, are_mystified_by
stumpy	2	look_up_to, are_overshadowed_by	tower_over, overshadow
unattractive	2	disgust, are_dumped_by	are_disgusted_by, dump
troubling	2	cause_trouble_for	are_frustrated_by, are_driven_mad_by
baffling	2	mystify	are_intrigued_by, are_mystified_by
profound	2	debate_with, inspire	debate_with, are_inspired_by
pear-shaped	2	seduce	sleep_with
scornful	2	resent, mock, taunt, satirize, laugh_at	are_mocked_by, are_taunted_by, are_humiliated_by
proud	2	condescend_to, alienate, rebuff	are_rebuffed_by
direct	2	offend	are_offended_by
turbulent	2	cause_trouble_for	are_frustrated_by, are_driven_mad_by
rumpled	2	fail_to_impress	are_unimpressed_by, are_unimpressed_with
hilarious	2	entertain, joke_about	laugh_at
overly-ambitious	2	upstage, are_underestimated_by, blackmail, compete_with, take_advantage_of	are_upstaged_by, are_usurped_by, underestimate, cede_power_to, are_used_by
trashy	2		
wasteful	2		
unimaginative	2		
unthinking	2		
drawling	2		
baby-voiced	2		
natural	2		
soft-spoken	2		
colorful	2		
hurtful	2		
swinging	2		
hardworking	2		
angel-voiced	2		
cross-dressing	2		
grandiose	2		
pitch-perfect	2		
weird	2		
overly-rational	2		
prescient	2		
contrarian	2		
eclectic	2		
erratic	2		
exotic	2		
vibrant	2		
tantrum-throwing	2		
fit	2		
fiesty	2		
limber	2		
morose	2		
propagandizing	2		
self-parodying	2		
mannish	2		
perverse	2		
inoffensive	2		
endearing	2		
voluptuous	2		
delinquent	2		
wonkish	2		
unsentimental	2		
anorexic	2		
misunderstood	2		
maniacal	2		
partisan	2		
pampered	2		
simple-minded	2		
cliched	2		
militant	2		
senile	2		
grumpy	2		
lightweight	2		
top-heavy	2		
rapacious	2		
malcontented	2		
peace-loving	2		
cheating	2		
socially-unaware	2		
mean	2		
free-speech-defending	2		
sycophantic	2		
decrepid	2		
non-confrontational	2		
temperamental	2		
gravel-voiced	2		
catchy	2		
portentous	2		
morally-ambiguous	2		
power-mad	2		
bouncy	2		
self-pitying	2		
self-loathing	2		
extravagant	2		
respected	2		
incestuous	2		
irritable	2		
cranky	2		
irrepressible	2		
biting	2		
suspenseful	2		
dramatic	2		
non-violent	2		
grotesque	2		
inhuman	2		
money-mad	2		
slick	2		
heartfelt	2		
self-improving	2		
FALSE	2		
over-exposed	2		
debonair	2		
critically-acclaimed	2		
toned	2		
well-informed	2		
ineffective	2		
inaccurate	2		
transformative	2		
hectoring	2		
gossipy	2		
hollow	2		
oratorical	2		
petty	2		
forgiving	2		
overly-trusting	2		
soulless	2		
hard-hitting	2		
untrained	2		
obedient	2		
sneering	2		
kitchy	2		
banal	2		
cheeky	2		
overly-confessional	2		
emotionally-intelligent	2		
amateurish	2		
ostentatious	2		
daft	2		
comical	2		
hucksterish	2		
glossy	2		
inattentive	2		
slobbish	2		
obsessive-compulsive	2		
inspid	2		
lisping	2		
humane	2		
hypnotic	2		
reductive	2		
untrustworthy	2		
jowly	2		
mediocre	2		
dark	3		
paunchy	2		
gurning	2		
manic-depressive	2		
long-suffering	2		
rapid-fire	2		
tempermental	2		
overly-sensitive	2		
wise-cracking	2		
morally-upright	2		
corruption-fighting	2		
self-confident	2		
trustworthy	2		
mother-obsessed	2		
adorable	2		
heartwarming	2		
unconventional	2		
considerate	2		
ill-tempered	2		
orphaned	2		
miserly	2		
penny-pinching	2		
egomaniacal	2		
bigoted	2		
reality-distorting	2		
slobbery	2		
numb-faced	2		
uncultured	2		
feral	2		
philandering	2		
full-throated	2		
high-grossing	2		
smarmy	2		
illiterate	2		
lawless	2		
unwashed	2		
anti-heroic	2		
crotchety	2		
unlucky	2		
dismissive	2		
enlightened	2		
supportive	2		
mendicant	2		
linguistically-challenged	2		
idiom-mangling	2		
mournful	2		
unethical	2		
dense	2		
dependable	2		
socially-unintelligent	2		
wild-eyed	2		
absent-minded	2		
easily-distracted	2		
frustrated	2		
dissatisfied	2		
sex-addled	2		
effeminate	2		
frenetic	2		
sesquipedalian	2		
lusty	2		
perceptive	2		
ethical	2		
brusque	2		
blind	2		
daffy	2		
deaf	2		
deformed	2		
immoral	2		
emotionally-distant	2		
fierce	2		
diminutive	2		
diabolical	2	manipulate, oppress, suppress, repress, round_up, cheat, defraud, kill, are_arrested_for_killing, imprison, incarcerate, take_advantage_of	are_manipulated_by, are_oppressed_by, are_killed_by, collude_with
non-nonsense	2	offend	are_offended_by
telegenic	2	impress, seduce, charm, pick_up	are_charmed_by, are_seduced_by, are_enticed_by, are_attracted_by
haunted	2		
impish	2		
drug-dependent	2		
unhygienic	2		
twittish	2		
upper-class	2		
spendthrift	2		
procrastinating	2		
star-crossed	2		
doomed	2		
practical	2		
super-intelligent	2		
flawed	2		
stuttering	2		
lacerating	2		
unpretentious	2		
slurring	2		
croaky	2		
blank-faced	2		
expressionless	2		
unkillable	2		
commitment-phobic	2		
sex-mad	2		
schoolmasterish	2		
warm-hearted	2		
robotic	2		
malodorous	2		
individualistic	2		
fawning	2		
precocious	2		
magical	2		
sulky	2		
eager-to-impress	2		
clueless	2		
prideful	2		
bestselling	2		
repressive	2		
narrow-minded	2		
boyish	2		
remote	2		
traumatised	2		
distrustful	2		
unprofessional	2		
manic	2		
open-minded	2		
bankable	2		
cultivated	2		
strict	2		
pudgy	2		
inquisitive	2		
gluttonous	2		
stocky	2		
shrill	2		
aristocratic	2		
disciplinarian	2		
politically-naïve	2		
show-offy	2		
unpatriotic	2		
contemptuous	2		
grasping	2		
perverted	2		
tough-skinned	2		
heartless	2		
nihilistic	2		
tawdry	2		
deft	2		
dextrous	2		
nervous	2		
knowledgeable	2		
repressed	2		
extreme	2		
bohemian	2		
cerebral	2		
misogynist	2	disrespect	
politically-incorrect	2	shock, offend, mock, taunt, disrespect	are_shocked_by, are_offended_by, are_taunted_by, are_mocked_by
lucid	1		
tolerant	1		
fervent	1		
truthful	1		
self-disciplined	1		
faded	1		
indebted	1		
poised	1		
powerf-mad	1		
angst-ridden	1		
dope-addled	1		
self-embellishing	1		
well-travelled	1		
world-spanning	1		
exploratory	1		
far-reaching	1		
oily	1		
cleancut	1		
divisive	1		
market-worshipping	1		
unswerving	1		
over-mothering	1		
blue-haired	1		
Victorian	1		
pouty-faced	1		
objectified	1		
irksome	1		
sharpshooting	1		
difficult	1		
cantankerous	1		
folksy	1		
toxic	1		
gripping	1		
clinical	1		
handy	1		
humanitarian	1		
overly-folksy	1		
hokey	1		
gossip-mongering	1		
salacious	1		
unprincipled	1		
muck-raking	1		
free-wheeling	1		
information-oriented	1		
ungracious	1		
Viagra-guzzling	1		
brazen	1		
inconstant	1		
listless	1		
lauded	1		
awards-laden	1		
battered	1		
tattered	1		
pyromaniacal	1		
critically-panned	1		
financially-successful	1		
stylistic	1		
meringue-haired	1		
fratricidal	1		
corrupted	1		
developmentally-arrested	1		
chart-topping	1		
high-jumping	1		
slam-dunking	1		
well-rounded	1		
affluent	1		
timeless	1		
shocking	1		
exciting	1		
disingenuous	1		
demented	1		
tortured	1		
anxious	1		
truth-seeking	1		
historically-reliable	1		
guilt-wracked	1		
hare-lipped	1		
squalid	1		
solitary	1		
awe-inspiring	1		
abstemious	1		
linguistically-perverse	1		
chastising	1		
sharp-suited	1		
decorous	1		
trend-setting	1		
virile	1		
squeeky	1		
cheerful	1		
pleasant	1		
dull-witted	1		
prison-hardened	1		
ferocious	1		
consummate	1		
plagiaristic	1		
helpful	1		
genteel	1		
incendiary	1		
overly-paternalistic	1		
paternal	1		
rousing	1		
ideologically-driven	1		
austere	1		
charitable	1		
holy	1		
trash-talking	1		
rabble-rousing	1		
off-putting	1		
demagogic	1		
unscripted	1		
unflitered	1		
over-achieving	1		
jabbering	1		
sickeningly-cheerful	1		
reluctant	1		
publicity-shy	1		
financially-ignorant	1		
conspiracy-addled	1		
appeasing	1		
culpable	1		
misguided	1		
hard-punching	1		
baroque	1		
outdoorsy	1		
ethically-challenged	1		
overly-casual	1		
esteemed	1		
pleasingly-plump	1		
casual	1		
inconfident	1		
craggy	1		
warm	1		
likeable	1		
righteous	1		
laidback	1		
soporific	1		
witheringly-sarcastic	1		
scowling	1		
dirty	1		
tale-spinning	1		
radical	1		
obtuse	1		
uncool	1		
fanciful	1		
wrong	1		
misinterpreted	1		
reforming	1		
glory-seeking	1		
nobel	1		
punitive	1		
unscientific	1		
new-age-pandering	1		
intimate	1		
mockney	1		
talent-squandering	1		
resonant-voiced	1		
baritone-voiced	1		
hyper-sensitive	1		
affectation-laden	1		
colourful	1		
sparkling	1		
captivating	1		
demonised	1		
unifying	1		
objective	1		
misleading	1		
tub-thumping	1		
hype-creating	1		
humbug-peddling	1		
silent	1		
impressive	1		
avante-garde	1		
insatiable	1		
voracious	1		
single-minded	1		
uncomplicated	1		
stick-thin	1		
courteous	1		
judicious	1		
non-judgmental	1		
justice-seeking	1		
priggish	1		
bloodthirsty	1		
sophomoric	1		
CGI-addled	1		
all-knowing	1		
reliable	1		
careless	1		
ageless	1		
overly-cautious	1	fear, fail_to_deliver_for, fail_to_impress	
devil-may-care	1		
wimpish	1		
scrawny	1		
mild_mannered	1	are_overlooked_by, are_underestimated_by	overlook, underestimate
unfiltered	1		
contradictory	1		
capricious	1		
fixated	1		
phobia-stricken	1		
quick	1		
iron-fisted	1		
passive	1		
vacillating	1		
passive-aggressive	1		
heavy-handed	1		
outrageous	1		
revisionist	1		
doctrinaire	1		
condemnatory	1		
empathic	1		
unwaveringly-orthodox	1		
cartoonish	1		
solemn	1		
churlish	1		
authoritative	1		
obscurantist	1		
tactless	1		
crusading	1		
militantly-atheistic	1		
hip	1		
intemperate	1		
coddled	1		
over-stylized	1		
stylized	1		
comic	1		
untalented	1		
second-rate	1		
hotheaded	1		
speech-impaired	1		
tic-ridden	1		
old	1		
looting	1		
plundering	1		
furtive	1		
incorrigible	1		
outside-the-law	1		
combative	1		
socially-aware	1		
sad-on-the-inside	1		
disrespectful	1		
mawkishly-sentimental	1	pine_for, stalk, cry_for, remember	are_stalked_by, are_driven_mad_by, are_remembered_by
cloyingly-sentimental	1	pine_for, stalk, cry_for, remember	are_stalked_by, are_driven_mad_by, are_remembered_by
hairy-knuckled	1		
authentic	1		
pedestrian	1		
xenophobic	1		
self-reliant	1		
flavourless	1		
fake-tanned	1		
unhealthy-looking	1		
wonky	1		
acrobatic	1		
thin-skinned	1		
chaotic	1		
shifty	1		
unflinching	1		
gelatinous	1		
hot-headed	1		
contemplative	1		
talkative	1		
secretly-vulnerable	1		
mighty	1		
long-haired	1		
robust	1		
corpulent	1		
flabby	1		
vitriolic	1		
tough-talking	1		
high-spirited	1		
cannabalistic	1		
dynamic	1		
orthodox	1		
arch-conservative	1		
toupee-wearing	1		
rich-voiced	1	sing_with	sing_with
sacrilegious	1		
masculine	1		
syrupy	1		
calm-voiced	1		
big-eared	1		
incomprehensible	1		
angelic	1		
in-your-face	1		
unsettling	1		
sorrowful	1		
refreshing	1		
king-making	1		
emotionally-stupid	1	believe_in, fall_in_love_with, propose_to	take_advantage_of
hide-bound	1		
weedy	1		
super-smart	1		
fun	1		
pandering	1		
genre-spanning	1		
unneighborly	1		
overly-critical	1		
self-contented	1		
illogical	1		
fallacious	1		
satirical	1		
anti-intellectual	1		
immobile	1		
crabby	1		
virulent	1		
self-deprecating	1		
exuberant	1		
studious	1		
tormented	1		
oppressive	1		
inhumane	1		
tame	1		
infantilizing	1		
unironic	1		
matricidal	1		
amnesiac	1		
waifish	1		
entrancing	1		
ascerbic	1		
crime-obsessed	1		
unbalanced	1		
well-trained	1		
book-loving	1		
traumatized	1		
uncivilized	1		
vigorous	1		
ebullient	1		
monopolistic	1		
hysterically-realistic	1		
meticulous	1		
antisocial	1		
highly-paid	1		
long-driving	1		
strong-voiced	1		
vocally-powerful	1		
unsettled	1		
brainwashed	1		
flat-faced	1		
litigious	1		
self-deifying	1		
amiable	1		
congenial	1		
sexually-charged	1		
growling	1		
distinctively-voiced	1		
atmospheric	1		
highly-trained	1		
responsive	1		
bowl-headed	1		
attention-craving	1		
underfed	1		
pseudoscientific	1		
snake-oil-selling	1		
positive-thinking	1		
reviled	1		
fundamentalist	1		
religious	1		
exiled	1		
ideological	1		
nasty	1		
easily-shocked	1		
hypochondriac	1		
chipmunk-voiced	1		
overrated	1		
ear-lopping	1		
mentally-troubled	1		
iron-willed	1		
adept	1		
heartthrob-handsome	1	pose_for	paint, photograph
hard-nosed	1		
Shrek-faced	1		
unclassy	1		
speedy	1		
fast-paced	1		
overly-personal	1		
self-mocking	1		
potty-mouthed	1		
lacking-in-credibility	1		
uninspiring	1		
big-assed	1		
self-invented	1		
overcompetitive	1		
ranting	1		
tongue-tied	1		
surgically-altered	1		
money-grabbing	1		
big-chinned	1		
bad-at-poker	1		
unable-to-bluff	1		
naughty	1		
cursed	1		
cryptic	1		
thuggish	1		
emotionally-fragile	1		
dainty	1		
abused	1		
misused	1		
santimonious	1		
loutish	1		
inflexible	1		
mathematically-brilliant	1		
flowing	1		
skinny	1		
obsessed	1		
unfulfilled	1		
ungrounded	1		
hen-pecked	1		
alienated	1		
inadequate	1		
vacuous	1		
wide-ranging	1		
quietly-desperate	1		
unfocused	1		
quarrelsome	1		
meek	1		
dream-filled	1		
sexually-ambivalent	1		
decadant	1		
klutzy	1		
bungling	1		
lucky	1		
gold-obsessed	1		
unpredictable	1		
mathematically-challenged	1		
overly-neat	1		
obsessively-neat	1		
affectionate	1		
socially-intelligent	1		
serious	1		
screechy	1		
comedic	1		
unemotional	1		
brutally-straightforward	1		
tacless	1		
private	1		
slobby	1		
overly-formal	1		
lanky	1		
kinky	1		
gimmicky	1		
pugnacious	1		
deeply-religious	1		
emotionally-detached	1		
hyper-logical	1		
scholastically-challenged	1		
quirky	1		
orderly	1		
emotionally-controlled	1		
emotic	1		
abrupt	1		
empirical	1		
nasal	1		
movie-obsessed	1		
flattery-seeking	1		
inexperienced	1		
unwise	1		
heavy-drinking	1		
whore-mongering	1		
shameless	1		
seasoned	1		
dishonorable	1	misrepresent	are_misrepresented_by
kingly	1		
moral	1		
scary	1		
hairy	1		
shaggy	1		
companionable	1		
kitschy	1		
worry-prone	1	are_concerned_about, fear	
multilingual	1	communicate_with	communicate_through, communicate_via
respectful	1	respect	are_respected_by
self-merchandising	1	sell_to	
distinctive	1	are_copied_by, are_imitated_by	copy, imitate
accident-prone	1	are_traumatized_by, are_treated_by, sue	treat, are_sued_by
easily-goaded	1	are_pushed_too_far_by, are_manipulated_by	manipulate
handicapped	1	obtain_sympathy_from	are_moved_by, help, care_for
overly-verbose	1	argue_with, debate_with	tune_out, are_overwhelmed_by
unassertive	1	obey	are_obeyed_by, take_advantage_of
easily-bullied	1	are_bullied_by, are_intimidated_by, fear	bully, intimidate, threaten
rule-breaking	1	inspire, are_fired_by	are_inspired_by, copy, imitate
busty	1	seduce, are_wooed_by, flirt_with	flirt_with
justice-serving	1	arrest, sue, defend, argue_before	are_sued_by, are_defended_by
contrived	1	fail_to_impress	lose_faith_in
sharp-shooting	1	target, assassinate, stalk, kill, are_arrested_for_killing	are_killed_by, are_targeted_by, are_stalked_by
moaning	1	complain_to	tune_out
grungy	1	disgust	are_disgusted_by
fashionably-sockless	1	are_copied_by, are_imitated_by	copy, imitate
scrounging	1	seek_sympathy_from	are_begged_by
grammatically-uptight	1	condescend_to, lecture	are_lectured_by, are_denounced_by
formulaic	1	copy, imitate, impersonate, fail_to_impress	are_copied_by, are_imitated_by
dissolute	1		
gritty	1		
self-conscious	1		
pointy-headed	1		
rubber-skinned	1		
morally-uptight	1	condescend_to, lecture	are_lectured_by, are_denounced_by
corpse-skinned	1		
socially-incompetent	1		
sexually-repressed	1		
fatalist	1		
groovy	1		
chatty	1		
dry	1		
lame	1		
industrious	1		
polished	1		
filthy	1		
not-quite-cunning	1		
impractical	1		
eye-popping	1		
humanistic	1		
freethinking	1		
overly-eager-to-impress	1		
taunting	1		
anti-democratic	1		
formidible	1		
disorganized	1		
justice-minded	1		
multifarious	1		
indecisive	1		
garrulous	1		
prattling	1		
sententious	1		
platitude-hurling	1		
prating	1		
tedious	1		
grief-stricken	1		
productive	1		
lovely	1		
drug-taking	1		
cancer-beating	1		
headstrong	1		
thoughtful	1		
commercial	1		
pencil-pushing	1		
conscienceless	1		
triumphant	1		
unquestioningly-obedient	1		
organized	1		
anger-filled	1		
anger-fuelled	1		
psychologically-fractured	1		
celebrated	1		
erotic	1		
disdainful	1		
critical	1		
nightmarish	1		
horrifying	1		
troublesome	1		
unrealistic	1		
omnipresent	1		
political	1		
burbing	1		
pathetic	1		
under-achieving	1		
libertine	1		
loud-mouthed	1		
insubstantial	1		
lomg-suffering	1		
biddable	1		
noisy	1		
hunched	1		
softball-throwing	1		
knife-wielding	1		
unprepared	1		
surreal	1		
machete-wielding	1		
approval-seeking	1		
egocentric	1		
unsubtle	1		
muscle-bound	1		
telepathic	1		
derogatory	1		
lumbering	1		
withdrawn	1		
overconfident	1		
imperturbable	1		
ill-mannered	1		
ornery	1		
blustering	1		
irascible	1		
short-sighted	1		
easily-outsmarted	1		
overdependent-on-technology	1		
cuckolded	1		
portly	1		
drab	1		
unexciting	1		
subtle	1		
sagacious	1		
self-serious	1		
explicit	1		
good-at-riddles	1		
self-sacrificing	1		
wisecracking	1		
never-say-die	1		
forthright	1		
transformational	1		
foul-breathed	1		
precise	1		
one-eyed	1		
stinky	1		
self-deluded	1		
amorous	1		
pertinacious	1		
lumpy	1		
malformed	1		
shunned	1		
warty	1		
mystical	1		
low-budget	1		
talentless	1		
cold-handed	1		
patrician	1		
quotable	1		
aphoristic	1		
vengefui	1		
uncritical	1		
effete	1		
lurching	1		
anonymous	1		
old_fashioned	1		
jaunty	1		
wheelchair-bound	1		
repellent	1		
individualist	1		
odious	1		
big-nosed	1		
fresh-faced	1		
girl-next-door	1		
over-used	1		
unavoidable	1		
ubiquitous	1		
interconnected	1		
well-organized	1		
dandified	1		
spiteful	1		
needy	1		
poisonous	1		
oepidal	1		
loony	1		
criminally-ignorant	1		incarcerate
gobby	1		
big-headed	1		
small-bodied	1		
puny	1		
pronunciation-challenged	1		
villainous	1		incarcerate
aesthetic	1		
wickedly-brilliant	1		
emotionally-disturbed	1		
militarily-incompetent	1		
bookish	1		
baby-faced	1		
watchable	1		
critically-lauded	1		
acetic	1		
shady	1		
fake	1		
touching	1		
self-made	1		
saccharine	1		
personable	1		
maternal	1		
calm-under-pressure	1		
overly-reserved	1		
asexual	1		
highly-strung	1		
bright	1		
apocalyptic	1		
self-denying	1		
unrefined	1		
unapologetic	1		
oblivious	1		
back-slapping	1		
glad-handing	1		
cavalier	1		
cold-hearted	1		
evasive	1		
slippery	1		
paradoxical	1		
free-thinking	1		
shrewish	1		
petite	1		
fair-skinned	1		
swottish	1		
levelheaded	1		
book-smar	1		
lethal	1		
skeptical	1		
irradiated	1		
implacable	1		
macabre	1		
morbid	1		
ghoulish	1		
chic	1		
fiercely-independent	1		
lacking-in-manual-dexterity	1		
pluckly	1		
porn-addicted	1		
disrespected	1		
out-of-control	1		
wry	1		
intuitive	1		
lunk-headed	1		
substance-abusing	1		
unhirable	1		
unsportsmanlike	1		
adrenaline-addicted	1		
skilful	1		
gun-happy	1		
ungentlemanly	1		
agreeable	1		
praise-seeking	1		
disapproving	1		
indispensable	1		
dim	1		
pasty-faced	1		
ill-used	1		
well-read	1		
inconsequential	1		
headline-hunting	1		
sober	1		
dignified	1		
stingy	1		
naggy	1		
inspired	1		
blood-sucking	1		
easily-fooled	1		
gutsy	1		
slender	1		
statuesque	1		
raven-haired	1		
publicity-hungry	1	devour	
ill-prepared	1		
lost	1		
isolationist	1		
trivial	1		
hairy-lipped	1		
brutally-honest	1		
memorious	1		
unvarnished	1		
sweet-voiced	1		are_complimented_by
girlish	1		
silver-voiced	1		
over-acting	1		
brooding	1		
disruptive	1		
grandious	1		
politically-active	1		
saggy-jowled	1		
frozen-faced	1		
flashy	1		
badly-behaved	1		
bulimic	1		
dangerous-to-know	1		
pernickety	1		
polarizing	1		
pitiless	1		
out-dated	1		
law-abiding	1		
gaffe-plagued	1		
electable	1		
scandal-plagued	1		
ambulance-chasing	1		
washed-up	1		
rope-a-dopey	1		
addiction-riddled	1		
miserable	1		
wizened	1		
sexually-aggressive	1		
tetchy	1		
over-paid	1		
submissive	1		
schmaltzy	1		
careerist	1		are_used_by
well-paid	1		
elderly	1		
visually-impaired	1		
doddery	1		
accepting	1		
unhurried	1		
desperate	1		
tobacco-addicted	1		
man-hating	1		
thrifty	1		
Oedipal	1		
spineless	1		
mocking	1		
surprisingly-sensitive	1		
physical	1		
surprisingly-well-built	1	impress, intimidate, are_trained_by, intimidate_with, bully, tower_over, pose_for	admire, are_impressed_by, train, paint, coach
surprisingly-strong	1		
telekinetic	1		
evergreen	1		
uninhibited	1		
anachronistic	1		
appalling	1		
over-sexed	1		
unsavory	1		
voyeuristic	1		
extortionate	1		
fraudulent	1		
flexible	1		
populist	1		
trilingual	1		
unemployed	1		
stoned	1		
sociable	1		
raunchy	1		
brainy	1		
morally-conflicted	1		
claustrophobic	1		
notorious	1		
animalistic	1		
mercenary	1	are_paid_by, are_hired_by, kill_for	
learned	1		
blunt	1		
sullen	1		
barbaric	1	attack, savage, assault, are_arrested_for_killing, are_arrested_for_hurting	are_bitten_by, are_savaged_by
pedantic	1		
socially-incompetent	1	offend, alienate, insult, harass, lose_favor_with	are_offended_by, are_insulted_by, 
supercilious	1		
over-demanding	1		
informative	1		
obsese	1		
gentel	1		
gentlemanly	1		
socially-inept	1	offend, alienate, insult, harass, lose_favor_with	are_offended_by, are_insulted_by, 
tightly-wound	1	condescend_to, lecture	are_lectured_by, are_denounced_by
sweet-toned	1	entice, persuade, charm, compliment	are_complimented_by, are_charmed_by, are_enticed_by, are_persuaded_by
coulrophobic	1	fear	
classical	1		
foolhardy	1		
aviophobic	1		
pure	1		
corrupting	1		
corrosive	1		
by-the-book	1		
controversy-seeking	1		
drug-damaged	1		
impolite	1		
invigorating	1		
politically-astute	1		
tight-fisted	1		
feckless	1		
profligate	1		
wastrel	1		
hopeful	1		
crooked	1		
light-fingered	1		
sharp-eyed	1	watch_over, spy_on	
quick-fingered	1	steal_from	
obsequious	1	serve, shill_for	
cadaverous	1	disgust	are_disgusted_by
bony	1	disgust	are_disgusted_by
gaunt	1	disgust	are_disgusted_by
lank	1	disgust	are_disgusted_by
under-paid	1	are_overworked_by, are_underappreciated_by, are_underpaid_by, are_exploited_by, labor_for	exploit, take_advantage_of,
exploited	1	are_overworked_by, are_underappreciated_by, are_underpaid_by, are_exploited_by, labor_for	exploit, take_advantage_of,
unappreciated	1	are_overworked_by, are_underappreciated_by, are_underpaid_by, are_exploited_by, labor_for	exploit, take_advantage_of,
overworked	1	are_overworked_by, are_underappreciated_by, are_underpaid_by, are_exploited_by, labor_for	exploit, take_advantage_of,
poor	1	repay	lend_to
unwell	1		
fragile	1		
sickly	1		
poker-faced	1	mystify	are_mystified_by
wall-eyed	1		
radical-chic	1		
sex-crazed	1		
frumpy	1		
ruined	1		
alien	1		
impertinent	1		
class-conscious	1		
proper	1		
snarky	1		
anarchic	1		
distant	1		
anguished	1		
sour	1		
ill-informed	1		
beguiling	1		
canny	1		
coarse	1		
faux-streetwise	1		
uninformed	1		
rootless	1		
homeless	1		
lean	1		
ill-at-ease	1		
nice	1		
normal	1		
happy-go-lucky	1		
officious	1		
unyielding	1		
mutinous	1		
impudent	1		
ungrateful	1	refuse_to_pay, fail_to_reward, are_unimpressed_by, are_unimpressed_with, withhold_payment_from	are_underpaid_by, are_underappreciated_by
