Character	Canonical Name	Gender	Address 1	Address 2	Address 3	Politics	Marital Status	Opponent	Typical Activity	Vehicle of Choice	Weapon of Choice	Seen Wearing	Domains	Genres	Fictive Status	Portrayed By	Creator	Creation	Group Affiliation	Fictional World	Category	Negative Talking Points	Positive Talking Points
Tom Ripley	Tom Ripley	male	Belle Ombre	Villeperce-sur-Seine	France	libertarian	married to Héloise Plïsson	Dickie Greenleaf, Freddie Miles	forging art, planning confidence tricks, cashing checks, climbing social ladders	Vespa scooter	wooden oar, glass ashtray	Princeton blazer, Oxford shoes, Battistoni jacket, Prince Albert slippers, cuffed linen trousers, Brooks Brothers button-down	Social Climbing, High Society	crime, society, 	fictional	Matt Damon, John Malkovitch, Alain Delon	Patricia Highsmith			The Talented Mr. Ripley	Con Man, Pretender, Snob, Killer, Psychopath	immoral, snooty, murderous, psychopathic, deceitful, remorseless, sexually-confused, jealous, diabolical	charming, literate, suave, agreeable, cultivated, urbane, dapper, cultured, talented
Mrs. Doubtfire	Euphegenia Doubtfire	female	San Francisco	California	USA	right	single	Stuart Dunmeyer	performing household chores, looking after children, impersonating women	mobility scooter	wooden spoon	pinafore	Housekeeping, Child Minding, Family life	family	fictional	Robin Williams	Anne Fine			Mrs. Doubtfire	Nanny, Child Minder, Female Impersonator	fat, bossy, strict, stern,	loving, caring, wise, indispensable
Kim Jong-Il	Jong-Il Kim	male	Pyongyang	North Korea	Korea	left	married	Bill Clinton, George W. Bush	crushing dissent, amassing nuclear weapons, issuing threats, enriching uranium	bullet-proof limousine	nuclear missile, dirty bomb, Unha-9 rocket	khaki safari suit, over-sized sunglasses,	Politics, Terrorism, Asian politics	politics, warfare						Team America	Dictator, Politician, Autocrat, Bully	short, fat, overweight, pudgy, deranged, autocratic, paranoid, ruthless, bullying	powerful, rich, wealthy, strategic
Kim Jung-un	Jung-un Kim	male	Pyongyang	North Korea	Korea	left	married	Seth Rogan, James Franco	crushing dissent, amassing nuclear weapons, issuing threats, enriching uranium	bullet-proof limousine	nuclear missile, dirty bomb, Unha-9 rocket	Dennis Rodman jersey	Politics, Terrorism, Asian politics	politics, warfare						The Interview	Dictator, Politician, Autocrat, Bully	short, fat, overweight, pudgy, deranged, autocratic, paranoid, ruthless, bullying, insecure	powerful, rich, wealthy, strategic
Simon Pegg	Simon Pegg	male	Notting Hill	London	UK	left	single	Ricky Gervais	dressing up in cosplay costumes, promoting nerd culture 	Winnebago	cornetto bazooka, Taurus PT92	cosplay zombie costume	Nerd culture, Comedy	comedy, movies				Shaun of the Dead			Actor, Comedian, Nerd	nerdy, geeky, pasty-faced	witty, entertaining, funny, 
Anne Boleyn	Anne Boleyn	female	St. James Palace	London	UK		married to King Henry VIII	Mary Tudor, Catherine of Aragon, Thomas Cromwell	climbing social ladders, seducing kings	royal carriage	jeweled dagger	low-cut dress with pinched waist	Politics, British royalty, British history	politics, history		Natalie Dormer, Helena Bonham Carter, Natalie Portman 			The Tudors, The House of Tudor	The Tudors, The Other Boleyn Girl	Queen, Royal	ill-used, over-ambitious, social-climbing, power-hungry, incestuous, over-reaching	seductive, tenacious, ambitious, sexy
King Henry VIII	Henry Tudor	male	St. James Palace	London	UK	right	married to Anne Boleyn	Pope Clement	trading in wives	royal carriage	sharpened chicken bone	jewelled brocade doublet	Politics, British royalty, British history	politics, history		Jonathan Rhys Meyers, Robert Shaw, Eric Bana		Greensleeves	The Tudors, The House of Tudor	A Man For All Seasons, The Tudors	King, Royal, Political Leader	fickle, fat, greedy, paunchy, narcissistic, gluttonous	powerful, rich, wealthy, strategic, iconoclastic, commanding
Angela Merkel	Angela Merkel	female	Reichstag	Berlin	Germany	right	married		plotting election strategies	armored limousine, VW Golf, gray Trabant	gold-plated hammer and sickle	flowing silk tunic	Politics, European politics, Germany	politics							Politician, Chancellor, Political Leader	stocky, stern, po-faced, humorless	sober, commanding, dominant, strategic
Silvio Berlusconi	Silvio Berlusconi	male	Villa San Martino	Monza	Italy		divorced	La Repubblica, The Economist, Romano Prodi	throwing Bunga Bunga parties, avoiding taxes, throwing sex parties	Audi A8	Mafia garrote	bench bespoke silk suit, hair transplant bandana	Politics, European politics, Italy	politics							Politician, Prime Minister, Political Leader, Tycoon	narcissistic, self-regarding, pretentious, hair-obsessed, vain, swaggering, tacky, lecherous	affable, fun-loving, media-savvy, rich, business-savvy, wealthy
Princess Fiona	Fiona	female			Far Far Away		married to Shrek	Prince Charming	waiting for a hero	pumpkin carriage	banshee wail	stretchy XXL green velvet gown	Fairy Tales, 	comedy, movies	fictional	Cameron Diaz	William Steig			Shrek	Princess, Heroine	shrill, naggy, stocky, impatient	caring, loving, capable
Victor Frankenstein	Victor Frankenstein	male	Ingolstadt University	Bavaria	Germany		single	Frankenstein's Monster	creating monsters, playing God	horse-drawn carriage	Promethean electricity	frock coat and top hat	Horror, Literature, Halloween	horror, movies, science fiction	fictional	Kenneth Branagh		Frankenstein's Monster		Frankenstein	Scientist, Genius	mad, over-reaching, over-ambitious, arrogant, reckless	driven, intelligent, inspired, ambitious
Count Dracula	Vlad Dracula	male	Bran Castle	Transylvania	Romania	right	single	Abraham Van Helsing	sucking blood, chasing virgins	flock of bats, cloud of mist	pearly fangs	tuxedo and high-collared cape	Horror, Literature, Halloween	horror, movies	fictional	Christopher Lee, Benedict Cumberbatch, Luke Evans, Gary Oldman, Bela Lugosi, Jonathan Rhys Meyers	Bram Stoker			Dracula	Vampire, Killer, Serial Killer, Monster, Aristocrat	evil, malevolent, blood-sucking, manipulative, exploitative, deadly	elegant, aristocratic, cunning, seductive, charming, sartorial
Jim Carrey	Jim Carrey	male	Beverly Hills, Hollywood	California	USA	left	divorced	Shia LaBeouf	gurning for the camera, pulling faces	silver Saleen S7 	manic energy	safari-style utility jacket	Hollywood, Comedy	comedy, movies		George C. Scott					Actor, Comedian	gurning, attention-seeking, insecure, hyper-active, ingratiating, cloying	funny, witty, quick-witted, entertaining, improvisational, rapid-fire, zany
General George Patton	George Patton	male	Heidelberg	Baden-Württemberg	Germany	right	married	General Erwin Rommel	slapping soldiers, planning tank battles	1938 Cadillac Staff Car	ivory-handled Colt pistol, Model 1913 Cavalry Saber	riding breeches and boots	War, World War II	warfare, politics, history					The Seventh Army	Patton	General, Military Leader, Soldier	insensitive, stern, harsh, unforgiving, domineering, disciplinarian	strategic, tactical, disciplined, straight-talking, dapper
John F. Kennedy	John F.-Kennedy	male	Dealey Plaza, Dallas	Texas	USA	left	married to Jackie Kennedy	Richard Nixon, Lee Harvey Oswald, Fidel Castro	chasing starlets	open-top Lincoln limousine 	famed Kennedy charm	Brooks Brothers suit	American politics	politics, history		Martin Sheen, Bruce Greenwood, James Marsden, William Petersen		The Peace Corps	The Democratic Party	J.F.K.	President, Political Leader, Womanizer	lecherous, adulterous, unfaithful, libidinous	media-savvy, handsome, inspiring, oratorical, youthful
Nicolas Sarkozy	Nicolas Sarkozy	male	The Élysée Palace	Paris	France	right	married to Carla Bruni	Francois Hollande	partying on yachts	friend's yacht	Springfield M1 Garand rifle	ill-fitting suit, onion necklace	French politics, 	politics, history					The UMP		President, Political Leader	short, insecure, power-hungry, aggressive, arrogant, confrontational, frenetic, hyper-active	energetic, ambitious, forceful, charismatic
Dominique Strauss-Kahn	Dominique Strauss-Kahn	male	The Sofitel	New York City	USA	left	divorced	Nicolas Sarkozy	throwing sex parties, planning orgies	police cruiser	rolled-up bath towel	bath towel	French politics, 	politics, history		Gérard Depardieu			The IMF, The French Socialist Party	Welcome to New York	Economist, Lecher, Politician	lecherous, adulterous, unfaithful, predatory, fat,  	intelligent, charming, charismatic, ambitious, well-educated, 
Alexander the Great	Alexander	male		Alexandria	Egypt	right	single	Darius III	building empires	Bucephalus	sarissae spear	white-and-purple striped tunic	War, the Ancient world	warfare, politics, history		Richard Burton, Colin Farrell				Alexander	King, Royal, Political Leader, Military Leader, Conqueror	shrill, ruthless, over-reaching, megalomaniacal	tactical, strategic, bold, brilliant, daring, ambitious, handsome, athletic
Pocahontas	Pocahontas	female	Jameston	Virginia	USA		dating John Smith		bridging cultures 	canoe	tomahawk	feathered headband	American history, the New world	history, movies						Pocahontas	Princess, Heroine	naïve, primitive, unsophisticated, gullible	tall, slender, statuesque, brave, caring, beautiful, raven-haired, open-minded
Amelia Earhart	Amelia Earhart	female					married to George Putnam	Beryl Markham	flying airplanes, breaking records	Lockheed Vega 5B	sharpened propeller	leather flight jacket	Aviation, American history	aviation, history		Amy Adams					Feminist, Aviator, Aviatrix, Pilot, Pioneer	publicity-hungry, reckless, attention-seeking, ill-prepared, lost	tenacious, intrepid, daring, pioneering
Charles Lindbergh	Charles Lindbergh	male	St. Louis	Missouri	USA	right	married	Charles Nungesser, Clarence D. Chamberlin	flying airplanes, breaking records	Spirit of St. Louis	sharpened propeller	aviator's helmet and goggles, leather flight jacket	Aviation, American history, American politics	aviation, history, politics		Jimmy Stewart		The Spirit of St. Louis	The America First Committee	The Spirit of St. Louis	Aviator, Pilot, Pioneer	isolationist, prickly, politically-naïve	tenacious, intrepid, daring, pioneering
Frida Kahlo	Frida Kahlo	female	Coyoacán	Mexico City	Mexico	left	married to Diego Rivera	Diego Rivera	painting colorful pictures, painting self-portraits	Mexico city streetcar	paint knife, habanero catapult	aviator's helmet and goggles, leather flight jacket	Mexican art, Art	art, history		Salma Hayek		Self Portrait With Necklace, Thinking About Death		Frida	Artist, Painter	hairy-lipped, brutally-honest, weird, twisted	imaginative, bold, strong-willed, honest, unvarnished
Judy Garland	Judy Garland	female		Emerald City	Oz		married	Mel Torme	singing torch songs	flying house	Tin Man's axe	ruby red slippers	Music, Musicals	movies, music, music, singing							Singer, Musician, Actress	drug-addled, insecure, melodramatic	tuneful, sweet-voiced, talented, hard-working, versatile
Ella Fitzgerald	Ella Fitzgerald	female	Beverly Hills, Hollywood	California	USA		married	Billie Holiday	singing torch songs, singing the blues	pink Cadillac	microphone cord garrote	Calico gown	Music, Jazz, Blues music	music, singing							Singer, Musician	untrained, lightweight, girlish	soulful, classy, richly-voiced, versatile, musical, tuneful, sultry, improvisational, silver-voiced, expressive
Sylvia Plath	Sylvia Plath	female	Primrose Hill	London	UK	left	married to Ted Hughes	Assia Wevill	writing poetry	Morris Minor 1000 Traveller	depressing looks	Victorian nightgown	Modern poetry, Suicide	poetry		Gwyneth Paltrow		The Bell Jar		The Bell Jar	Poet, Poetess	suicidal, depressive, depressing, moody, 	expressive, poetic, insightful, observant,
Nicolas Cage	Nicolas Cage	male	French Quarter, New Orleans	Louisiana	USA		divorced from Lisa-Marie Presley	Sean Penn	over-acting	Enzo Ferrari	Kiwi Molotov cocktail	snakeskin jacket	Hollywood, Acting, Action movies	movies							Actor	manic, hyper-active, over-the-top, over-acting, melodramatic	intense,  soulful, brooding, energetic, compelling, entertaining
Malcolm X	Malcolm X	male	Boston	Massachusetts	USA	left	married to Betty Shabazz	Martin Luther King	fighting for civil rights	63 black Oldsmobile 98	M1 Carbine	zoot suit	American politics, Race Relations, Black liberation, the American Civil Rights movement	politics, history		Denzel Washington			The Nation of Islam	Malcolm X	Politician, Activist, Campaigner, Political Activist	confrontational, aggressive, hostile, belligerent	bold, daring, inspiring, socially-conscious, charismatic, resolute
Rosa Parks	Rosa Parks	female	Tuskegee, Montgomery	Alabama	USA	left			fighting for civil rights	Montgomery bus	bus windscreen wiper	floral dress with a collared neck	American politics, Race Relations, Black liberation, the American Civil Rights movement	politics, history		Whoopee Goldberg					Seamstress, Activist, Campaigner	disobedient, disruptive	brave, tenacious, principled, inspiring, 
Sean Penn	Sean Penn	male		Port-au-Prince	Haiti	left	dating Charlize Theron, divorced from Robin Wright	Mickey Rourke, Wyclef Jean, Nicolas cage	starring in Hollywood movies, promoting social causes 	Nissan Titan, Ford Mustang	12 Gauge Double Barreled Shotgun	Chinese single-breasted suit	Hollywood, Acting, Action movies	movies							Actor, Activist, Campaigner	politically-naïve, attention-seeking, narcissistic, egotistical, grandious, sanctimonious 	passionate, compelling, entertaining, politically-active, socially-conscious
Mickey Rourke	Mickey Rourke	male	Schenectady	New York	USA	right	divorced from Carré Otis	Sean Penn	getting plastic surgery	Bentley Continental GT	Ruger Super Blackhawk .454 Magnum	silver suit and blue suede shoes	Hollywood, Acting, Action movies, Plastic Surgery	movies							Actor, Boxer	self-destructive, hedonistic, debauched, drunken, alcoholic, saggy-jowled, frozen-faced, disillusioned, 	compelling, perfectionist, intense, 
Elton John	Elton John	male	Grand Canal	Venice	Italy	left	married to David Furnish, divorced from Renate Blauel	Madonna, Lady Gaga	 shopping for shoes, peacocking in fancy clothes	Sinclair C5	Candle In The Wind	purple musketeer outfit, Mardi Gras costume, Marie Antoinette dress	Music, Pop music, Love songs	music, singing				Rocket Man, Candle In The Wind	The Club at the End of the Street		Singer, Musician, Pianist	bitchy, effeminate, flashy, show-offy, vain, bulimic	flamboyant, energetic, creative, entertaining, rich, 
Bradley Manning	Bradley Manning	male	Fort Leavenworth	Kansas	USA	left	single	The US Government	leaking state secrets, leaking classified documents	prison van	jailhouse shiv	prison fatigues, orange overalls	Espionage, Politics, Wikileaks	politics, warfare		Darren Evans			Wikileaks		Soldier, Informant, Campaigner, Prisoner	naïve, guileless, gullible, simplistic, unpatriotic, loose-lipped, sexually-confused, indiscrete, unreliable	principled, brave, courageous, altruistic,
Chelsea Manning	Chelsea Manning	female	Fort Leavenworth	Kansas	USA	left	single	The US Government	leaking state secrets, leaking classified documents	prison van	jailhouse shiv	fetching orange overalls	Espionage, Politics, Wikileaks	politics, warfare		Ashley Olsen			Wikileaks		Soldier, Informant, Campaigner, Prisoner	naïve, guileless, gullible, simplistic, unpatriotic, loose-lipped, sexually-confused, indiscrete, unreliable	principled, brave, courageous, altruistic,
Tim Berners-Lee	Tim Berners-Lee	male	Cambridge	Massachusetts	USA	left	married	The NSA, Al Gore	promoting the Web	Segway scooter	pointy umbrella	crisp white suit	The World Wide Web, The Internet, Computers	technology, computers		Hugh Grant		The World Wide Web			Software Engineer, Technologist, Pioneer, Inventor	dull, shy, bland	brilliant, clever, inventive, pioneering, smart, altruistic, decent
Edward Snowden	Edward Snowden	male	Sheremetyevo airport	Moscow	Russia	left	single	The NSA	leaking state secrets, leaking classified documents	second-hand Lada Vesta	giant USB stick	dark suit with no tie	Espionage, Politics, The World Wide Web, The Internet, Computers	technology, computers, politics		Joseph Gordon-Levitt		NSA leaks	NSA		Software Engineer, Technologist, Fugitive, Whistleblower	unreliable, loose-lipped, indiscrete, reclusive	principled, brave, courageous, altruistic,
Sergey Brin	Sergey Brin	male	Googleplex	Mountain View, California	USA	left	married to Anne Wojcicki, dating Amanda Rosenberg	Mark Zuckerberg	running a tech giant,  building a search engine, performing Web searches	driverless Google car	tricked out smartphone	Google goggles, dark T-shirt and torn jeans	The World Wide Web, The Internet, Computers	technology, computers, business		Owen Wilson		Google	Google	Googleplex	Software Engineer, Technologist, Pioneer, CEO	cocky, brash, arrogant, wacky, geeky, nerdy,  smug, self-satisfied	brilliant, clever, inventive, pioneering, smart, inventive, self-assured
Larry Page	Larry Page	male	Googleplex	Mountain View, California	USA	left	married to Lucinda Southworth	Mark Zuckerberg	running a tech giant,  building a search engine, performing Web searches	driverless Google car	cutting-edge malware	Google glass, dark T-shirt and torn jeans	The World Wide Web, The Internet, Computers	technology, computers, business		Luke Wilson		Google	Google	Googleplex	Software Engineer, Technologist, Pioneer, CEO	eccentric, secretive, wacky, geeky, nerdy,  smug, self-satisfied	brilliant, clever, inventive, pioneering, smart, inventive, self-assured
Montgomery Burns	Montgomery Burns	male	Springfield Power Plant	Springfield	USA	right	single	Aristotle Amodopoulos	releasing the hounds, counting money, amassing wealth	1936 Stutz Bearcat	radioactive rod, dirty bomb	greyhound puppy tuxedo	Nuclear Power, The Simpsons, Springfield	cartoons, business, finance	fictional	Harry Shearer	Matt Groening	Springfield Power Plant	Team Homer	The Simpsons	Tycoon, Mogul, Businessman	sinister, selfish, uncaring, arrogant, out-dated, old-fashioned, covetous, greedy, weak, money-grubbing	rich, wealthy, powerful, whimsical
Waylon Smithers	Waylon Smithers	male	Springfield Power Plant	Springfield	USA	right	pining for Montgomery Burns		fawning on the boss, currying favour	roller-skates	Malibu Stacy cannon	pink bathrobe	Nuclear Power, The Simpsons, Springfield	cartoons	fictional	Harry Shearer	Matt Groening		Malibu Stacy fan club	The Simpsons	Lackey, Toady, Executive Assistant	obedient, sycophantic, sexually-confused, fawning	dutiful, dedicated, loyal, devoted, hard-working
Mayor Joe Quimby	Joe Quimby	male	The Quimby Compound	Springfield	USA	libertarian	married to Martha Quimby	Sideshow Bob, Chief Clarence Wiggum	 embezzling tax money, taking bribes from organized crime, paying kickbacks to the police chief	Mayoral limousine	absolute power	Mayoral chain, Mayoral sash	 The Simpsons, Springfield	cartoons	fictional	Dan Castellaneta	Matt Groening		The Democratic Party	The Simpsons	Mayor, Political Leader, Womanizer	slick, opportunistic, phony, corrupt, sleazy, contemptuous, lecherous, randy, self-regarding, promiscuous, pompous, self-aggrandizing, gaffe-plagued	powerful, charming, electable
Chief Clarence Wiggum	Clarence Wiggum	male	Springfield police station	Springfield	USA	right	married to Sarah Wiggum	Mayor Joe Quimby	eating donuts, 	police cruiser	police baton	police uniform	 The Simpsons, Springfield	cartoons	fictional	Hank Azaria, Edward G. Robinson	Matt Groening		Springfield Police Force	The Simpsons	Police Chief, Policeman	incompetent, irresponsible, lazy, gluttonous, ignorant, impulsive, fat	well-meaning, easy-going
Lionel Hutz	Lionel Hutz	male	Springfield shopping mall	Springfield	USA	libertarian	single		losing court cases, repairing shoes	ambulance chaser 3000	restraining order	cheap suit	 The Simpsons, Springfield	cartoons	fictional	Phil Hartman	Matt Groening			The Simpsons	Lawyer, Ambulance Chaser, Shyster	inept, incompetent, ambulance-chasing, opportunistic, unethical, alcoholic	optimistic, affable, easy-going, upbeat
Troy McClure	Troy McClure	male	Betty Ford clinic	Springfield	USA	right	divorced from Selma Bouvier	Rainier Luftwaffe Wolfcastle	appearing in infomercials, hosting educational films	fish mobile	giant frozen fishstick	pink Angora sweater	 The Simpsons, Springfield	cartoons	fictional	Phil Hartman	Matt Groening			The Simpsons	Actor, Has-Been	washed-up, perverted, narcissistic, phony, wooden,  glib, superficial, 	charming, handsome, media-savvy, affable
Rainier Luftwaffe Wolfcastle	Rainier Luftwaffe Wolfcastle	male	Wolfcastle Castle	Springfield	USA	right	divorced from Maria Quimby	Kent Brockman	making action movies, starring in action movies	gas-guzzling Hummer	gold-plated barbell, Bratwurst spike	workout sweats	 The Simpsons, Springfield	cartoons	fictional	Harry Shearer, Arnold Schwarzenegger	Matt Groening		The Republican Party	The Simpsons	Actor, Action Star	musclebound, inarticulate, stiff, oafish, wooden, cliched	popular, muscular, strong, powerful
Krusty the Clown	Herschel Krustofski	male	Springfield synagogue	Springfield	USA	right	single	Sideshow Bob	introducing cartoons, telling bad jokes, pushing shoddy merchandise	54-seater clown car	Krusty's Toxic Kologne	clown shoes, fright wig	 The Simpsons, Springfield	cartoons	fictional	Dan Castellaneta	Matt Groening		The Republican Party	The Simpsons	Clown, Entertainer, Has-Been	cynical, burnt-out, addiction-riddled, miserable, jaded, wizened	witty, entertaining, hugely-quotable, affable, 
Edna Krabappel	Edna Krabappel	female	Springfield High	Springfield	USA	right	married to Ned Flanders	Bart Simpson	smoking during recess, looking for love	Springfield school bus	 sharp-edged ruler	comfortable shoes	 The Simpsons, Springfield	cartoons	fictional	Marcia Wallace	Matt Groening		Springfield PTA	The Simpsons	Teacher	grumpy, jaded, frustrated, pessimistic, sexually-aggressive, promiscuous	strong-willed, tough-skinned, passionate
Kent Brockman	Kent Brockman	male	Channel 6 Studios	Springfield	USA	right	married to Stephanie Brockman	Arnie Pye	reading the news, hosting anodyne game shows	blue Mercedes-Benz S420	Peabody Award statuette	Moire pattern jacket	 The Simpsons, Springfield	cartoons	fictional	Harry Shearer	Matt Groening		Channel 6	The Simpsons	Anchorman, News Reader, Reporter, Journalist	sanctimonious, vain, swaggering, over-paid, foul-mouthed, arrogant, submissive, gullible, opinionated, smarmy, schmaltzy, careerist, reactionary, unsympathetic, judgmental	well-paid, media-savvy, straight-talking
Hans Moleman	Hans Moleman	male	Oak Grove	Springfield	USA	right	dated Selma Bouvier	Lars Ulrich	getting run over by cars	Zimmer frame	cane with retractable sword	old man pants	 The Simpsons, Springfield	cartoons	fictional	Dan Castellaneta	Matt Groening		Metallica fan club	The Simpsons	Old Man	unlucky, elderly, slow, decrepid,  visually-impaired, alcoholic, doddery	easy-going, accepting, unhurried
Selma Bouvier	Selma Bouvier	female	Spinster Arms	Springfield	USA	right	divorced from Troy McClure, engaged to Sideshow Bob, dated Hans Moleman, dated Moe Szyslak	Homer Simpson	smoking Laramie Hi-Tars, watching MacGyver reruns, clipping coupons	DMV test car	rabid iguana	blue pearl necklace, grey-blue rinse	 The Simpsons, Springfield	cartoons	fictional	Julie Kavner	Matt Groening		Springfield DMV	The Simpsons	Spinster, Sister	raspy, bitter, twisted, desperate, lovelorn, unprofessional, cynical, tobacco-addicted, rude, contemptuous, man-hating	thrifty, tough-skinned, resilient
Principal Seymour Skinner	Seymour Skinner	male	Springfield Elementary	Springfield	USA	right	dating Edna Krabappel	Superintendent Chalmers	disciplining students, looking after mother	mother's car	flaming toupee	blue suit and orange tie	 The Simpsons, Springfield	cartoons	fictional	Harry Shearer	Matt Groening	Be-Sharps Barbershop quartet	Springfield Mensa, Be-Sharps Barbershop quartet	The Simpsons	Teacher, Principal, Bureaucrat, Disciplinarian	bureaucratic, Oedipal, strict, disciplinarian, uptight, bland, spineless, stern	intelligent, decent, sincere, well-educated
Nelson Muntz	Nelson Muntz	male	Springfield Elementary	Springfield	USA	right	dating Lisa Simpson	Martin Prince, Bart Simpson	bullying schoolkids, stealing lunch money	homemade go-kart	trashcan lid	kiddie dentures, dirty torn vest	 The Simpsons, Springfield	cartoons	fictional	Nancy Cartwright	Matt Groening		Springfield bullies	The Simpsons	Bully, Schoolkid, Juvenile Delinquent	bullying, pushy, cruel, mocking, sarcastic, delinquent	surprisingly-sensitive, tough, physical
Groundskeeper Willie MacDougal	Willie MacDougal	male	Springfield Elementary	Springfield	USA	left	dating Patty Bouvier	Principal Seymour Skinner	cleaning floors, burying dead hamsters	mini-tractor	shovel	tartan kilt	 The Simpsons, Springfield	cartoons	fictional	Dan Castellaneta	Matt Groening	The Aberdeen Stranglers	The Aberdeen Stranglers	The Simpsons	Groundskeeper, Janitor	incompetent, hot-tempered, perverse, ugly, angry, gruff	muscular, surprisingly-well-built, surprisingly-strong
Thomas "Neo" Anderson	Thomas Anderson, Neo Anderson	male	Lower Downtown	Capital City	USA	left	dating Trinity	Agent Smith	hacking into corporate mainframes, nursing a messiah complex, bending spoons, performing kung-fu moves	Nebuchadnezzar	Martial Arts, Kung Fu	black cassock with Mandarin collar	The Matrix	science fiction, movies	fictional	Keanu Reeves	Andy Wachowski, Lana Wachowski		The Human Resistance	The Matrix	Software Developer, Hacker, Hero, Messiah	dour, messianic, reality-distorting	spiritual, agile, driven, capable, strong, protective, heroic, telekinetic, strong, fast
Morpheus	Morpheus	male	The Nebuchadnezzar	Zion	New Earth	left	dating Niobe	Agent Smith	searching for the messiah, recruiting dissidents, raging against the machine	Nebuchadnezzar	Martial Arts, Kung Fu, electromagnetic pulse	leather trenchcoat	The Matrix	science fiction, movies	fictional	Laurence Fishburne	Andy Wachowski, Lana Wachowski		The Human Resistance	The Matrix	Hacker, Captain, Rebel, Terrorist	mysticism-peddling, moralistic, preachy, humorless	inspirational, influential, spiritual, driven, faithful, strong, fast
Trinity	Trinity	female	The Matrix	Zion	New Earth	left	dating Thomas "Neo" Anderson	Agent Smith	hacking into corporate mainframes	Bell 212 helicopter, Ducati 996 motorcycle	Martial Arts, Kung Fu, Double Eagle kick	black leather bodysuit	The Matrix	science fiction, movies	fictional	Carrie-Anne Moss	Andy Wachowski, Lana Wachowski		The Human Resistance	The Matrix	Hacker, Heroine	terse, gruff, surly, intimidating	skilled, agile, capable, dedicated, enigmatic, strong, fast
Agent Smith	Hugo Smith	male	The Core	Machine City	New Earth	right		Thomas "Neo" Anderson, Morpheus, Trinity	fighting the resistence, 	Caduceus	Desert Eagle semi-automatic pistol	black suit and angled sunglasses	The Matrix	science fiction, movies	fictional	Hugo Weaving	Andy Wachowski, Lana Wachowski		The Machine Collective	The Matrix	Software Agent, AI Program, Villain	emotionless, heartless, cold, antagonistic, hateful, nihilistic	agile, strong, fast, driven, rational, pragmatic
Glenn Quagmire	Glenn Quagmire	male	Spooner Street, Quahog	Rhode Island	USA	libertarian	dating Cheryl Tiegs, divorced from Charmise Quagmire 	Brian Griffin	chasing women, exploiting women, looking for sex	Cesna	XL dildo	red Hawaiian shirt	Family Guy	cartoons	fictional	Seth MacFarlane	Seth MacFarlane		Quahog Book Club	Family Guy	Pilot, Neighbour, Hedonist, Voyeur, Pervert	anachronistic, appalling, over-sexed, lecherous, unsavory, disgusting, libidinous, sleazy, perverted, voyeuristic, tawdry, lewd	energetic, tenacious, passionate, 
Uri Geller	Uri Geller	male		Tel Aviv	Israel	right	married to Hannah Geller	James Randi	bending spoons	Sabra GT	barrage of flying spoons, pistol with a bent barrel		Magic, Mentalism, Show Business	theater					The Magic Circle		Mentalist, Entertainer, Showman	phony, fraudulent, manipulative, self-aggrandizing	deft, dextrous, trilingual
Jeffrey "The Dude" Lebowski	Jeffrey Lebowski	male	Hollywood Star Lanes, Los Angeles	California	USA	left	dating Maude Lebowski	Jackie Treehorn	going bowling, drinking White Russians	battered yellow Ford Torino	bowling ball	knitted cardigan, Inca pattern sweatpants, tattered hoodie	Bowling	sport, comedy	fictional	Jeff Bridges	Ethan Coen, Joel Coen	The Seattle Seven, The Port Huron Statement	The Seattle Seven	The Big Lebowski	Slacker, Hippie, Bowler, Deadbeat	unemployed, lazy, profane, stoned, drug-addled, clueless, burnt-out	easy-going, affable, gentle, peace-loving, laid-back, sociable, cool
Iggy Pop	Iggy Pop	male	Ypsilanti	Michigan	USA	libertarian	married to Nina Alu	Billy Idol	doing raunchy stage acts	tricked-out hearse	Death Car	ultra-skinny jeans with no shirt	Music, Jazz, Blues music, Rock music, Punk rock music	music, singing		Elijah Wood, Ewan McGregor			The Stooges, The Trolls, The Prime Movers		Musician, Rock Singer, Punk	raunchy, tawdry, libidinous, vulgar, drug-addled, tasteless	versatile, entertaining, cool, eclectic, energetic, muscular, passionate
Mark Zuckerberg	Mark Zuckerberg	male	Harvard	Massachusetts	USA	right	married to Priscilla Chan	 Eduardo Saverin, Cameron Winklevoss, Tyler Winklevoss	hanging out on Facebook, changing privacy settings	Acura TSX 	cutting-edge malware	bathrobe and socks, hoody and jeans	Facebook, Technology, Software, the Software business	technology, business		Jesse Eisenberg		Facebook	Facebook	The Social Network	Software Engineer, Technologist, Pioneer, CEO	egomaniacal, anti-social, nerdy, geeky, duplicitous, prickly, arrogant, cheap	brilliant, clever, inventive, pioneering, rich, wealthy, brainy
Roy Batty	Roy Batty	male	Los Angeles	California	USA	right	dating Pris	Rick Deckard, Dr. Eldon Tyrell	looking for immortality, avoiding retirement	stolen shuttle	super-strength	leather trenchcoat	Blade Runner, Science Fiction	science fiction, movies	fictional	Rutger Hauer	Philip K. Dick		Nexus-6	Blade Runner	Replicant, Android, Fighter, Fugitive	amoral, brutal, cruel, soulless, dangerous, homicidal	intelligent, smart, strategic, skilled, strong, agile, fast
