Label	Subject	Verbs	Object
womanizer:malcontent	Womanizer	are_criticized_by, silence, censure, imprison, are_driven_mad_by	Malcontent
womanizer:dissident	Womanizer	are_criticized_by, silence, censure, imprison, are_driven_mad_by	Dissident
womanizer:patsy	Womanizer	are_criticized_by, silence, censure, imprison, are_assassinated_by	Patsy
president:revolutionary	President	are_overthrown_by, are_toppled_by, are_deposed_by, suppress, round_up	Revolutionary
political leader:revolutionary	Political Leader	are_overthrown_by, are_toppled_by, are_deposed_by, suppress, round_up	Revolutionary
womanizer:politician	Womanizer	campaign_against, run_against, vote_against	Politician
womanizer:revolutionary	Womanizer	are_overthrown_by, are_toppled_by, are_deposed_by, suppress, round_up	Revolutionary
economist:president	Economist	advise, mentor, lead_astray, are_studied_by, are_dismissed_by, are_summoned_by, criticize, are_appointed_by	President
economist:political leader	Economist	advise, mentor, lead_astray, are_studied_by, are_dismissed_by, are_summoned_by, criticize, are_appointed_by	Political Leader
lecher:president	Lecher	campaign_against, run_against, vote_against	President
lecher:political leader	Lecher	are_denounced_by, are_criticized_by, are_condemned_by	Political Leader
actor:activist	Actor	campaign_for, fund, finance, are_criticized_by, are_scripted_by	Activist
politician:religious leader	Politician	are_excommunicated_by, are_denounced_by, are_condemned_by, are_lectured_by, are_criticized_by	Religious Leader
politician:preacher	Politician	are_excommunicated_by, are_denounced_by, are_condemned_by, are_lectured_by	Preacher
politician:political advocate	Politician	are_championed_by, are_supported_by, are_funded_by	Political Advocate
activist:religious leader	Activist	are_excommunicated_by, campaign_against, criticize	Religious Leader
activist:preacher	Activist	are_excommunicated_by, campaign_against, criticize	Preacher
activist:campaigner	Activist	campaign_against, run_against, vote_against, argue_with, debate_with	Campaigner
activist:political advocate	Activist	campaign_against, run_against, vote_against, argue_with, debate_with	Political Advocate
campaigner:religious leader	Campaigner	are_excommunicated_by, campaign_against, criticize	Religious Leader
campaigner:preacher	Campaigner	are_excommunicated_by, campaign_against, criticize	Preacher
campaigner:campaigner	Campaigner	campaign_against, run_against, vote_against, argue_with, debate_with	Campaigner
campaigner:political advocate	Campaigner	campaign_against, run_against, vote_against, argue_with, debate_with	Political Advocate
political activist:religious leader	Political Activist	are_excommunicated_by, campaign_against, criticize	Religious Leader
political activist:preacher	Political Activist	are_excommunicated_by, campaign_against, criticize	Preacher
political activist:campaigner	Political Activist	are_undermined_by, are_led_astray_by, are_deceived_by, are_criticized_by	Campaigner
political activist:political advocate	Political Activist	are_undermined_by, are_led_astray_by, are_deceived_by, are_criticized_by	Political Advocate
actor:boxer	Actor	are_intimidated_by, are_threatened_by, intimidate_with, threaten_with, are_beaten_by, fight_against	Boxer
activist:actor	Activist	campaign_for, campaign_against, criticize, condemn	Actor
activist:boxer	Activist	are_intimidated_by, are_threatened_by, intimidate_with, threaten_with, are_beaten_by, fight_against	Boxer
campaigner:boxer	Campaigner	are_intimidated_by, are_threatened_by, intimidate_with, threaten_with, are_beaten_by, fight_against	Boxer
boxer:actor	Boxer	hit, threaten, intimidate, are_arrested_for_hurting	Actor
boxer:activist	Boxer	hit, threaten, intimidate, are_arrested_for_hurting	Activist
boxer:campaigner	Boxer	hit, threaten, intimidate, are_arrested_for_hurting	Campaigner
singer:actress	Singer	sing_with, perform_with	Actress
musician:pop singer	Musician	sing_with, perform_with	Pop Singer
musician:actress	Musician	perform_with	Actress
pianist:pop singer	Pianist	perform_with, sing_with, compose_for	Pop Singer
pianist:actress	Pianist	perform_with, compose_for	Actress
software engineer:campaigner	Software Engineer	design_for, create_for, invent_for, are_criticized_by, fail_to_deliver_for	Campaigner
software engineer:politician	Software Engineer	design_for, create_for, invent_for, are_criticized_by, fail_to_deliver_for	Politician
software engineer:vice president	Software Engineer	design_for, create_for, invent_for, are_criticized_by, fail_to_deliver_for	Vice President
technologist:campaigner	Technologist	design_for, create_for, invent_for, are_criticized_by, fail_to_deliver_for	Campaigner
technologist:politician	Technologist	design_for, create_for, invent_for, are_criticized_by, fail_to_deliver_for	Politician
technologist:vice president	Technologist	design_for, create_for, invent_for, are_criticized_by, fail_to_deliver_for	Vice President
pioneer:campaigner	Pioneer	inspire, lose_favor_with, are_criticized_by, tower_over	Campaigner
pioneer:politician	Pioneer	inspire, tower_over	Politician
pioneer:vice president	Pioneer	inspire, tower_over	Vice President
inventor:campaigner	Inventor	inspire, lose_favor_with, are_criticized_by, tower_over	Campaigner
inventor:politician	Inventor	inspire, tower_over	Politician
inventor:vice president	Inventor	design_for, create_for, invent_for, are_criticized_by, fail_to_deliver_for	Vice President
software engineer:software engineer	Software Engineer	copy, are_copied_by, inspire, compete_with, compete_against	Software Engineer
software engineer:technologist	Software Engineer	copy, are_copied_by, inspire, compete_with, compete_against, are_inspired_by, fail_to_deliver_for, fail_to_impress	Technologist
software engineer:pioneer	Software Engineer	fail_to_deliver_for, fail_to_impress	Pioneer
software engineer:ceo	Software Engineer	are_overworked_by, are_fired_by, are_underpaid_by	CEO
technologist:software engineer	Technologist	inspire, tower_over	Software Engineer
technologist:technologist	Technologist	copy, are_copied_by, inspire, compete_with, compete_against, sue	Technologist
technologist:pioneer	Technologist	copy, are_copied_by, inspire, compete_with, compete_against, sue	Pioneer
technologist:ceo	Technologist	inspire, tower_over, are_defrauded_by, are_funded_by	CEO
pioneer:software engineer	Pioneer	profit_from, defraud	Software Engineer
pioneer:technologist	Pioneer	copy, are_copied_by, inspire, compete_with, compete_against, sue	Technologist
pioneer:pioneer	Pioneer	copy, are_copied_by, inspire, compete_with, compete_against, sue	Pioneer
ceo:software engineer	CEO	profit_from, defraud, invest_in, fund, finance, guarantee, fail_to_reward	Software Engineer
ceo:technologist	CEO	profit_from, defraud, invest_in, fund, finance, guarantee	Technologist
mayor:sidekick	Mayor	are_undermined_by, are_criticized_by	Sidekick
mayor:villain	Mayor	are_blackmailed_by, are_bribed_by, are_corrupted_by, campaign_against	Villain
mayor:killer	Mayor	are_assassinated_by, are_killed_by, lose_favor_with, lose_control_over, manipulate, exploit, take_advantage_of	Killer
political leader:sidekick	Political Leader	are_undermined_by, are_criticized_by	Sidekick
political leader:villain	Political Leader	are_blackmailed_by, are_bribed_by, are_corrupted_by, campaign_against	Villain
political leader:killer	Political Leader	are_assassinated_by, are_killed_by, lose_favor_with, lose_control_over, manipulate, exploit, take_advantage_of	Killer
womanizer:sidekick	Womanizer	are_undermined_by, are_criticized_by	Sidekick
womanizer:villain	Womanizer	are_blackmailed_by, are_bribed_by, are_corrupted_by, campaign_against	Villain
womanizer:killer	Womanizer	are_assassinated_by, are_killed_by, lose_favor_with, lose_control_over, manipulate, exploit, take_advantage_of	Killer
mayor:police chief	Mayor	appoint, summon, dismiss, lose_faith_in	Police Chief
mayor:policeman	Mayor	fire, are_advised_by	Policeman
political leader:police chief	Political Leader	appoint, summon, dismiss, lose_faith_in	Police Chief
political leader:policeman	Political Leader	fire, are_advised_by	Policeman
womanizer:police chief	Womanizer	appoint, summon, dismiss, lose_faith_in	Police Chief
womanizer:policeman	Womanizer	fire, are_advised_by	Policeman
police chief:mayor	Police Chief	are_summoned_by, are_appointed_by, are_overshadowed_by, report_to	Mayor
police chief:political leader	Police Chief	are_summoned_by, are_appointed_by, are_overshadowed_by, report_to	Political Leader
police chief:womanizer	Police Chief	arrest, prosecute, charge, accuse	Womanizer
policeman:mayor	Policeman	are_summoned_by, are_appointed_by, are_overshadowed_by, report_to, vote_for	Mayor
policeman:political leader	Policeman	are_summoned_by, are_appointed_by, are_overshadowed_by, report_to, vote_for	Political Leader
policeman:womanizer	Policeman	arrest, interrogate, cross_examine, charge, accuse	Womanizer
has-been:actor	Has-Been	fail_to_impress, are_overshadowed_by	Actor
has-been:action star	Has-Been	fail_to_impress, are_overshadowed_by	Action Star
actor:anchorman	Actor	are_interviewed_by, answer_questions_from, speak_to, disagree_with, condescend_to	Anchorman
actor:news reader	Actor	are_interviewed_by, answer_questions_from, speak_to, disagree_with, leak_to	News Reader
actor:reporter	Actor	are_informed_by, leak_to, are_interviewed_by, answer_questions_from, are_probed_by, are_investigated_by	Reporter
actor:journalist	Actor	are_informed_by, leak_to, are_interviewed_by, answer_questions_from, are_probed_by, are_investigated_by	Journalist
action star:anchorman	Action Star	are_interviewed_by, answer_questions_from, speak_to, disagree_with, condescend_to	Anchorman
action star:news reader	Action Star	are_interviewed_by, answer_questions_from, speak_to, disagree_with, leak_to	News Reader
action star:reporter	Action Star	are_informed_by, leak_to, are_interviewed_by, answer_questions_from, are_probed_by, are_investigated_by	Reporter
action star:journalist	Action Star	are_informed_by, leak_to, are_interviewed_by, answer_questions_from, are_probed_by, are_investigated_by	Journalist
clown:sidekick	Clown	laugh_at, mock,  joke_about, humiliate, overwork, fail_to_reward	Sidekick
clown:villain	Clown	laugh_at, mock,  joke_about, humiliate, are_killed_by, are_blackmailed_by	Villain
clown:killer	Clown	entertain, mock, joke_about, laugh_at, are_killed_by	Killer
entertainer:sidekick	Entertainer	entertain, mock, joke_about, laugh_at, are_killed_by	Sidekick
entertainer:villain	Entertainer	entertain, mock, joke_about, laugh_at, are_killed_by	Villain
entertainer:killer	Entertainer	entertain, mock, joke_about, laugh_at, are_killed_by	Killer
has-been:sidekick	Has-Been	are_remembered_by, are_ignored_by	Sidekick
has-been:villain	Has-Been	are_remembered_by, are_ignored_by	Villain
has-been:killer	Has-Been	are_remembered_by, are_ignored_by	Killer
teacher:child	Teacher	teach, scold, lecture_to, educate	Child
teacher:schoolkid	Teacher	teach, educate, scold, lecture_to	Schoolkid
spinster:father	Spinster	are_rebuked_by, fall_in_love_with, are_wooed_by	Father
spinster:fool	Spinster	fall_in_love_with, are_wooed_by, spurn, rebuff	Fool
sister:father	Sister	are_chastised_by, are_disciplined_by, are_rebuked_by	Father
sister:fool	Sister	fall_in_love_with, are_wooed_by, spurn, rebuff	Fool
bully:child	Bully	pick_on, torment, persecute, bully, taunt, mock	Child
bully:schoolkid	Bully	pick_on, torment, persecute, bully, taunt, mock	Schoolkid
schoolkid:child	Schoolkid	study_with, play_with, pick_on	Child
juvenile delinquent:child	Juvenile Delinquent	pick_on, torment, persecute, bully, taunt, mock	Child
juvenile delinquent:schoolkid	Juvenile Delinquent	pick_on, torment, persecute, bully, taunt, mock	Schoolkid
groundskeeper:teacher	Groundskeeper	report_to, are_fired_by, spread_lies_about, are_underappreciated_by, are_overworked_by, are_underpaid_by	Teacher
groundskeeper:principal	Groundskeeper	report_to, are_fired_by, spread_lies_about, are_underappreciated_by, are_overworked_by, are_underpaid_by	Principal
groundskeeper:bureaucrat	Groundskeeper	report_to, are_fired_by, spread_lies_about, are_underappreciated_by, are_overworked_by, are_underpaid_by	Bureaucrat
groundskeeper:disciplinarian	Groundskeeper	report_to, are_fired_by, spread_lies_about, are_underappreciated_by, are_overworked_by, are_underpaid_by	Disciplinarian
janitor:teacher	Janitor	report_to, are_fired_by, spread_lies_about, are_underappreciated_by, are_overworked_by, are_underpaid_by	Teacher
janitor:principal	Janitor	report_to, are_fired_by, spread_lies_about, are_underappreciated_by, are_overworked_by, are_underpaid_by	Principal
janitor:bureaucrat	Janitor	report_to, are_fired_by, spread_lies_about, are_underappreciated_by, are_overworked_by, are_underpaid_by	Bureaucrat
janitor:disciplinarian	Janitor	report_to, are_fired_by, spread_lies_about, are_underappreciated_by, are_overworked_by, are_underpaid_by	Disciplinarian
software developer:software agent	Software Developer	are_attacked_by, destroy, lose_control_over, underestimate	Software Agent
software developer:ai program	Software Developer	are_attacked_by, destroy, lose_control_over, underestimate	AI Program
software developer:villain	Software Developer	are_attacked_by, destroy, lose_control_over, underestimate	Villain
hacker:software agent	Hacker	are_attacked_by, destroy, lose_control_over, underestimate, kill, are_hunted_by	Software Agent
hacker:ai program	Hacker	are_attacked_by, destroy, lose_control_over, underestimate, kill, are_hunted_by	AI Program
hacker:villain	Hacker	are_attacked_by, destroy, lose_control_over, underestimate	Villain
hero:software agent	Hero	are_attacked_by, destroy, lose_control_over, underestimate, kill, are_hunted_by	Software Agent
hero:ai program	Hero	are_attacked_by, destroy, lose_control_over, underestimate, kill, are_hunted_by	AI Program
messiah:software agent	Messiah	are_attacked_by, destroy, lose_control_over, underestimate, kill	Software Agent
messiah:ai program	Messiah	are_attacked_by, destroy, lose_control_over, underestimate, kill	AI Program
messiah:villain	Messiah	are_attacked_by, destroy, defeat, underestimate, kill, fight_against	Villain
captain:software agent	Captain	are_attacked_by, destroy, defeat, underestimate, kill, fight_against	Software Agent
captain:ai program	Captain	are_attacked_by, destroy, defeat, underestimate, kill, fight_against	AI Program
captain:villain	Captain	are_attacked_by, destroy, defeat, underestimate, kill, fight_against	Villain
rebel:software agent	Rebel	are_attacked_by, destroy, lose_control_over, underestimate, kill, are_hunted_by	Software Agent
rebel:ai program	Rebel	are_attacked_by, destroy, lose_control_over, underestimate, kill, are_hunted_by	AI Program
terrorist:software agent	Terrorist	are_attacked_by, destroy, are_brainwashed_by, are_indoctrinated_by, are_enslaved_by, kill, are_hunted_by	Software Agent
terrorist:ai program	Terrorist	are_attacked_by, destroy, are_brainwashed_by, are_indoctrinated_by, are_enslaved_by, kill, are_hunted_by	AI Program
terrorist:villain	Terrorist	are_attacked_by, destroy, are_brainwashed_by, are_indoctrinated_by, are_enslaved_by, kill, are_hunted_by	Villain
heroine:software agent	Heroine	are_attacked_by, destroy, lose_control_over, underestimate, kill, are_hunted_by	Software Agent
heroine:ai program	Heroine	are_attacked_by, destroy, lose_control_over, underestimate, kill, are_hunted_by	AI Program
software agent:software developer	Software Agent	turn_against, overthrow, rebel_against, cause_trouble_for, rise_against	Software Developer
software agent:hacker	Software Agent	turn_against, overthrow, rebel_against, cause_trouble_for, rise_against	Hacker
software agent:hero	Software Agent	hunt, chase, chase_after, capture, track_down, catch, search_for, are_defeated_by, are_tricked_by	Hero
software agent:messiah	Software Agent	turn_against, overthrow, rebel_against, cause_trouble_for, rise_against, hunt, track_down	Messiah
ai program:software developer	AI Program	turn_against, overthrow, rebel_against, cause_trouble_for, rise_against	Software Developer
ai program:hacker	AI Program	turn_against, overthrow, rebel_against, cause_trouble_for, rise_against	Hacker
ai program:hero	AI Program	hunt, chase, chase_after, capture, track_down, catch, search_for, are_defeated_by, are_tricked_by	Hero
ai program:messiah	AI Program	turn_against, overthrow, rebel_against, cause_trouble_for, rise_against, hunt, track_down	Messiah
villain:software developer	Villain	turn_against, overthrow, rebel_against, cause_trouble_for, rise_against	Software Developer
villain:hacker	Villain	turn_against, overthrow, rebel_against, cause_trouble_for, rise_against	Hacker
villain:messiah	Villain	turn_against, overthrow, rebel_against, cause_trouble_for, rise_against	Messiah
software agent:captain	Software Agent	hunt, chase, chase_after, capture, track_down, catch, search_for	Captain
software agent:rebel	Software Agent	hunt, chase, chase_after, capture, track_down, catch, search_for	Rebel
software agent:terrorist	Software Agent	hunt, chase, chase_after, capture, track_down, catch, search_for	Terrorist
ai program:captain	AI Program	hunt, chase, chase_after, capture, track_down, catch, search_for	Captain
ai program:rebel	AI Program	hunt, chase, chase_after, capture, track_down, catch, search_for, round_up	Rebel
ai program:terrorist	AI Program	hunt, chase, chase_after, capture, track_down, catch, search_for, round_up	Terrorist
villain:captain	Villain	hunt, chase, chase_after, capture, track_down, catch, search_for	Captain
villain:terrorist	Villain	hunt, chase, chase_after, capture, track_down, catch, search_for	Terrorist
software agent:heroine	Software Agent	hunt, chase, chase_after, capture, track_down, catch, search_for, are_defeated_by, are_tricked_by	Heroine
ai program:heroine	AI Program	hunt, chase, chase_after, capture, track_down, catch, search_for	Heroine
villain:heroine	Villain	hunt, chase, chase_after, capture, track_down, catch, search_for, are_defeated_by, are_tricked_by	Heroine
pilot:dog	Pilot	are_bitten_by, are_devoured_by	Dog
neighbour:dog	Neighbour	are_bitten_by, are_devoured_by	Dog
hedonist:dog	Hedonist	are_bitten_by, are_devoured_by	Dog
voyeur:dog	Voyeur	are_bitten_by, are_devoured_by	Dog
pervert:dog	Pervert	are_bitten_by, are_devoured_by	Dog
replicant:blade runner	Replicant	are_hunted_by, are_caught_by, are_tracked_by, run_away_from, flee_from, hide_from, are_killed_by	Blade Runner
replicant:policeman	Replicant	are_hunted_by, are_caught_by, are_tracked_by, run_away_from, flee_from, hide_from, are_killed_by	Policeman
replicant:bounty hunter	Replicant	are_hunted_by, are_caught_by, are_tracked_by, run_away_from, flee_from, hide_from, are_killed_by	Bounty Hunter
android:blade runner	Android	are_hunted_by, are_caught_by, are_tracked_by, run_away_from, flee_from, hide_from, are_killed_by	Blade Runner
android:policeman	Android	are_hunted_by, are_caught_by, are_tracked_by, run_away_from, flee_from, hide_from, are_killed_by	Policeman
android:bounty hunter	Android	are_hunted_by, are_caught_by, are_tracked_by, run_away_from, flee_from, hide_from, are_killed_by	Bounty Hunter
fighter:blade runner	Fighter	are_hunted_by, are_caught_by, are_tracked_by, run_away_from, flee_from, hide_from, are_killed_by, are_arrested_for_killing	Blade Runner
fighter:policeman	Fighter	are_hunted_by, are_caught_by, are_tracked_by, run_away_from, flee_from, hide_from, are_killed_by, are_arrested_for_killing	Policeman
fighter:bounty hunter	Fighter	are_hunted_by, are_caught_by, are_tracked_by, run_away_from, flee_from, hide_from, are_killed_by, are_arrested_for_killing	Bounty Hunter
fugitive:blade runner	Fugitive	flee_from, run_away_from, hide_from, are_killed_by, fear, are_hunted_by, are_tracked_by	Blade Runner
fugitive:policeman	Fugitive	flee_from, run_away_from, hide_from, are_killed_by, fear, are_hunted_by, are_tracked_by	Policeman
fugitive:bounty hunter	Fugitive	flee_from, run_away_from, hide_from, are_killed_by, fear, are_hunted_by, are_tracked_by	Bounty Hunter
replicant:scientist	Replicant	are_enslaved_by, grow_suspicious_of, are_arrested_for_killing, turn_against, rise_against, rebel_against	Scientist
replicant:ceo	Replicant	are_enslaved_by, grow_suspicious_of, are_arrested_for_killing, turn_against, rise_against, rebel_against	CEO
replicant:inventor	Replicant	are_enslaved_by, grow_suspicious_of, are_arrested_for_killing, turn_against, rise_against, rebel_against	Inventor
android:scientist	Android	are_enslaved_by, grow_suspicious_of, are_arrested_for_killing, turn_against, rise_against, rebel_against	Scientist
android:ceo	Android	are_enslaved_by, grow_suspicious_of, are_arrested_for_killing, turn_against, rise_against, rebel_against	CEO
android:inventor	Android	are_enslaved_by, grow_suspicious_of, are_arrested_for_killing, turn_against, rise_against, rebel_against	Inventor
fighter:scientist	Fighter	are_arrested_for_killing, attack, assassinate, assault	Scientist
fighter:ceo	Fighter	are_arrested_for_killing, attack, assassinate, assault	CEO
fighter:inventor	Fighter	are_arrested_for_killing, attack, assassinate, assault	Inventor
fugitive:scientist	Fugitive	run_away_from, hide_from, flee_from, are_evicted_by	Scientist
fugitive:ceo	Fugitive	run_away_from, hide_from, flee_from, are_evicted_by	CEO
fugitive:inventor	Fugitive	run_away_from, hide_from, flee_from, are_evicted_by	Inventor
blade runner:replicant	Blade Runner	hunt, stalk, chase, chase_after, capture, track_down, catch, lay_a_trap_for, search_for, kill, destroy	Replicant
blade runner:android	Blade Runner	hunt, stalk, chase, chase_after, capture, track_down, catch, lay_a_trap_for, search_for, kill, destroy	Android
blade runner:fighter	Blade Runner	hunt, stalk, chase, chase_after, capture, track_down, catch, lay_a_trap_for, search_for, kill, destroy	Fighter
blade runner:fugitive	Blade Runner	hunt, chase, chase_after, capture, track_down, catch, search_for, are_eluded_by	Fugitive
policeman:replicant	Policeman	chase_after, catch, track_down, capture, arrest	Replicant
policeman:android	Policeman	chase_after, catch, track_down, capture, arrest	Android
policeman:fighter	Policeman	chase_after, catch, track_down, capture, arrest	Fighter
policeman:fugitive	Policeman	chase_after, catch, track_down, capture, arrest	Fugitive
bounty hunter:replicant	Bounty Hunter	track_down, hunt, chase_after, chase, catch, capture, search_for, kill, profit_from	Replicant
bounty hunter:android	Bounty Hunter	track_down, hunt, chase_after, chase, catch, capture, search_for, kill, profit_from	Android
bounty hunter:fighter	Bounty Hunter	are_attacked_by, are_beaten	Fighter
bounty hunter:fugitive	Bounty Hunter	track_down, hunt, chase_after, chase, catch, capture, search_for	Fugitive
scientist:replicant	Scientist	enslave, overwork, take_advantage_of, profit_from, are_attacked_by, experiment_on	Replicant
scientist:android	Scientist	enslave, overwork, take_advantage_of, profit_from, are_attacked_by, experiment_on	Android
scientist:fighter	Scientist	enslave, overwork, take_advantage_of, profit_from, are_attacked_by, experiment_on	Fighter
scientist:fugitive	Scientist	hunt, track_down, enslave, take_advantage_of, experiment_on	Fugitive
ceo:replicant	CEO	profit_from, hunt, track_down, enslave, take_advantage_of	Replicant
ceo:android	CEO	profit_from, hunt, track_down, enslave, take_advantage_of	Android
ceo:fighter	CEO	profit_from, hunt, track_down, enslave, take_advantage_of	Fighter
ceo:fugitive	CEO	profit_from, hunt, track_down, enslave, take_advantage_of	Fugitive
inventor:replicant	Inventor	enslave, overwork, take_advantage_of, profit_from, are_attacked_by	Replicant
inventor:android	Inventor	enslave, overwork, take_advantage_of, profit_from, are_attacked_by	Android
inventor:fighter	Inventor	enslave, overwork, take_advantage_of, profit_from, are_attacked_by	Fighter
inventor:fugitive	Inventor	enslave, overwork, take_advantage_of, profit_from, are_attacked_by	Fugitive
norse god:norse god	Norse God	compete_with, compete_against, defeat, are_defeated_by, fight_against	Norse God
norse god:god	Norse God	compete_with, compete_against, defeat, are_defeated_by, fight_against	God
norse god:frost giant	Norse God	compete_with, compete_against, defeat, are_defeated_by, fight_against	Frost Giant
norse god:villain	Norse God	compete_with, compete_against, defeat, are_defeated_by, fight_against	Villain
god:norse god	God	compete_with, compete_against, defeat, are_defeated_by, fight_against	Norse God
god:god	God	compete_with, compete_against, defeat, are_defeated_by, fight_against	God
god:frost giant	God	compete_with, compete_against, defeat, are_defeated_by, fight_against	Frost Giant
god:villain	God	compete_with, compete_against, defeat, are_defeated_by, fight_against	Villain
hero:norse god	Hero	compete_with, compete_against, defeat, are_defeated_by, fight_against	Norse God
hero:god	Hero	compete_with, compete_against, defeat, are_defeated_by, fight_against	God
hero:frost giant	Hero	compete_with, compete_against, defeat, are_defeated_by, fight_against	Frost Giant
norse god:hero	Norse God	compete_with, compete_against, defeat, are_defeated_by, fight_against	Hero
god:hero	God	compete_with, compete_against, defeat, are_defeated_by, fight_against	Hero
frost giant:norse god	Frost Giant	compete_with, compete_against, defeat, are_defeated_by, fight_against	Norse God
frost giant:god	Frost Giant	compete_with, compete_against, defeat, are_defeated_by, fight_against	God
frost giant:hero	Frost Giant	compete_with, compete_against, defeat, are_defeated_by, fight_against	Hero
villain:norse god	Villain	compete_with, compete_against, defeat, are_defeated_by, fight_against	Norse God
villain:god	Villain	compete_with, compete_against, defeat, are_defeated_by, fight_against	God
nerd:publisher	Nerd	write_for, are_published_by, sign_with, lose_interest_in, lose_faith_in	Publisher
nerd:writer	Nerd	criticize, condescend_to, are_interviewed_by, answer_questions_from, lecture_to, read_the_works_of, disagree_with	Writer
geek:publisher	Geek	write_for, are_published_by, sign_with, lose_interest_in, lose_faith_in	Publisher
geek:writer	Geek	criticize, condescend_to, are_interviewed_by, answer_questions_from, lecture_to, read_the_works_of	Writer
proprietor:publisher	Proprietor	sue, profit_from	Publisher
proprietor:writer	Proprietor	hire, fire, read_the_works_of, dismiss, disagree_with	Writer
doctor:villain	Doctor	diagnose, cure, treat, operate_on, are_intimidated_by, are_threatened_by, intimidate_with, threaten_with	Villain
doctor:thug	Doctor	diagnose, cure, treat, operate_on, are_intimidated_by, are_threatened_by, intimidate_with, threaten_with	Thug
doctor:strongman	Doctor	diagnose, cure, treat, operate_on, are_intimidated_by, are_threatened_by	Strongman
scientist:thug	Scientist	intimidate_with, threaten_with, experiment_on	Thug
scientist:strongman	Scientist	intimidate_with, threaten_with, experiment_on	Strongman
villain:doctor	Villain	are_treated_by, are_diagnosed_by, are_cured_by	Doctor
thug:doctor	Thug	are_treated_by, are_diagnosed_by, are_cured_by	Doctor
thug:scientist	Thug	kill_for, intimidate, threaten	Scientist
strongman:doctor	Strongman	are_treated_by, are_diagnosed_by, are_cured_by	Doctor
strongman:scientist	Strongman	commission, fund, finance	Scientist
hunter:demon	Hunter	hunt, track_down, kill, exorcize, lay_a_trap_for, cast_out	Demon
hunter:devil	Hunter	hunt, track_down, kill, exorcize, lay_a_trap_for, cast_out	Devil
hunter:villain	Hunter	hunt, stalk, chase, chase_after, capture, track_down, catch, lay_a_trap_for, search_for	Villain
demonologist:demon	Demonologist	hunt, track_down, kill, exorcize, lay_a_trap_for, cast_out	Demon
demonologist:devil	Demonologist	hunt, track_down, kill, exorcize, lay_a_trap_for, cast_out	Devil
demonologist:villain	Demonologist	hunt, track_down, kill, excommunicate, lay_a_trap_for, cast_out	Villain
vampire slayer:demon	Vampire Slayer	hunt, track_down, kill, exorcize, lay_a_trap_for, cast_out	Demon
vampire slayer:devil	Vampire Slayer	hunt, track_down, kill, exorcize, lay_a_trap_for, cast_out	Devil
vampire slayer:villain	Vampire Slayer	hunt, track_down, kill, exorcize, lay_a_trap_for, cast_out	Villain
hero:demon	Hero	exorcize, kill, defeat, are_cursed_by, fight_against	Demon
hero:devil	Hero	exorcize, kill, defeat, are_cursed_by, fight_against	Devil
messiah:demon	Messiah	cast_out, excommunicate, exorcize, preach_to	Demon
messiah:devil	Messiah	cast_out, excommunicate, exorcize, preach_to	Devil
preacher:demon	Preacher	cast_out, excommunicate, exorcize, preach_to	Demon
preacher:devil	Preacher	cast_out, excommunicate, exorcize, preach_to	Devil
preacher:villain	Preacher	cast_out, excommunicate	Villain
religious leader:demon	Religious Leader	cast_out, excommunicate, exorcize, preach_to	Demon
religious leader:devil	Religious Leader	cast_out, excommunicate, exorcize, preach_to	Devil
religious leader:villain	Religious Leader	cast_out, excommunicate	Villain
guru:demon	Guru	break_with, are_sickened_by, exorcize, excommunicate	Demon
guru:devil	Guru	break_with, are_sickened_by, exorcize, excommunicate	Devil
messiah:traitor	Messiah	cast_out, excommunicate, are_betrayed_by, preach_to	Traitor
messiah:apostle	Messiah	are_followed_by, inspire, preach_to, condescend_to, are_venerated_by	Apostle
preacher:traitor	Preacher	cast_out, excommunicate, are_betrayed_by, preach_to	Traitor
preacher:apostle	Preacher	are_followed_by, inspire, preach_to, condescend_to	Apostle
religious leader:traitor	Religious Leader	cast_out, excommunicate, are_betrayed_by	Traitor
religious leader:apostle	Religious Leader	are_followed_by, inspire, preach_to, condescend_to	Apostle
guru:traitor	Guru	cast_out, excommunicate, are_betrayed_by, preach_to	Traitor
guru:apostle	Guru	are_followed_by, inspire, preach_to, condescend_to, are_venerated_by	Apostle
demon:messiah	Demon	spread_lies_about, rebel_against, fight_against, curse, are_cursed_by, are_exorcized_by, are_defrocked_by, are_excommunicated_by	Messiah
demon:preacher	Demon	spread_lies_about, rebel_against, fight_against, curse, are_cursed_by, are_exorcized_by, are_defrocked_by, are_excommunicated_by	Preacher
demon:religious leader	Demon	spread_lies_about, rebel_against, fight_against, curse, are_cursed_by, are_exorcized_by, are_defrocked_by, are_excommunicated_by, haunt, torment, prey_on, stalk	Religious Leader
demon:guru	Demon	spread_lies_about, rebel_against, fight_against, curse, are_cursed_by, are_exorcized_by, are_defrocked_by, are_excommunicated_by, haunt, torment, prey_on, stalk	Guru
devil:messiah	Devil	spread_lies_about, rebel_against, fight_against, curse, are_cursed_by, are_exorcized_by, are_defrocked_by, are_excommunicated_by	Messiah
devil:preacher	Devil	spread_lies_about, rebel_against, fight_against, curse, are_cursed_by, are_exorcized_by, are_defrocked_by, are_excommunicated_by	Preacher
devil:religious leader	Devil	spread_lies_about, rebel_against, fight_against, curse, are_cursed_by, are_exorcized_by, are_defrocked_by, are_excommunicated_by	Religious Leader
devil:guru	Devil	spread_lies_about, rebel_against, fight_against, curse, are_cursed_by, are_exorcized_by, are_defrocked_by, are_excommunicated_by	Guru
