Root	Antonym
exempt	taxable, nonexempt
aggressive	mousy, serene, affable, retreating, sheepish
bizarre	commonplace
amusing	unfunny
introverted	extraverted
curvy	linear
highranking	junior
undependable	reliable, dependable
spiritual	soulless
qualitative	quantitative
seedless	seedy
pompous	modest, humble, unassuming, unpretentious
disastrous	beneficial
enviable	unfortunate, cursed
erect	flaccid, crooked
illustrative	uninformative
narrowminded	broadminded
oafish	courtly, chivalrous
super	banal
swiftfooted	slow
memorable	forgettable
normal	weird, abnormal, extraordinary, surrealistic
presidential	unpresidential
selfaggrandizing	self_effacing
outward_looking	insular
wicked	virtuous, kingly, titled, noble, godly, pure, innocent, blameless
puritanical	hedonistic
anticlimactic	climactic
stretchy	rigid
incombustible	combustible
stupid	intelligent, clever, smart, wily
tuneless	tuneful, melodious
handicapped	capable
irksome	enjoyable
furry	bald
patrician	plebeian
stoppable	unstoppable
bound	unbound, unrestrained, free
sudden	gradual
standoffish	touchyfeely
gaga	sane
nonspherical	spherical
endearing	unendearing
slack	taut
mellow	harsh, authoritarian
unequal	equivalent, equal
unintentional	deliberate, intentional, designed
received	extraordinary
unpatriotic	patriotic, loyal
impregnable	undefended
civilised	barbaric, uncivilized, noncivilised
disappointed	pleased, happy
blurry	distinct
elevated	ignoble, downcast
invigorating	debilitating
serviceable	unserviceable
inspiring	ignoble, uninspiring
poetic	banal
uneasy	relaxed, easy
pervasive	localized
unlucky	lucky, fortunate
bereft	happy, fulfilled
slithery	rigid
careful	careless, reckless
imperfect	ideal, perfect
noncombustible	combustible
glamorous	frumpy, dowdy, poor
hidden	public
irreversible	reversible
diseased	healthy
snowy	hot, _hot
flinty	flimsy
annoying	charming, appealing, sensitive, enjoyable, delightful, entertaining
unextended	extended
manageable	uncontrollable, unmanageable, difficult
righteous	ignoble, unworthy
accurate	inaccurate
deniable	undeniable
frothy	flat
impenetrable	open, accessible
convenient	incommodious, inconvenient
subjective	objective
unsympathetic	appealing, sympathetic, likable, likeable
comforting	horrifying, scarey, disturbing, scary, terrifying, devastating, eerie
level	uneven, sloped
chained	unconstrained, emancipated, liberated, carefree, unrestrained, free
extended	unextended
unalert	alert
handy	unwieldy, clumsy, cumbersome
unbelievable	credible, believable
longlived	shortlived
unpackaged	packaged
unsubtle	stealthy, diplomatic, subtle
tedious	exciting
twisted	straight
overdressed	naked, underdressed, exposed, bare
deified	lowly, humble, powerless, undignified, crude, cheap
reckless	cautious, disciplined, prudent, careful
nonexempt	exempt
unstable	steady, stable, stabile
batty	sane
luckless	lucky
sweet	salty, sour, foul, bitter, tart, acidic
elastic	inelastic, rigid
aristocratic	proletariat, vulgar
ungrateful	thankful, grateful, appreciative
bony	boneless, plump
unalarming	alarming
provocative	unprovocative, unremarkable
congratulatory	dismissive
companionable	misanthropic, antisocial, unapproachable
selfconfident	humble
circuitous	direct
tyrannical	democratic
agile	maladroit, arthritic, ponderous, stiff, ungainly
huge	petite, minuscule, microscopic, minute, tiny, miniscule, teeny, wee, small, puny
literal	nonliteral, symbolic, figurative
malicious	benevolent, gay
heavyweight	lightweight
impious	pious, consecrated, holy
sodden	dry
stubborn	adaptable, agreeable, docile, flexible
unserviceable	serviceable
engaging	boring
grateful	thankless, ungrateful, unthankful
priceless	expendable, worthless
paralyzed	animated
unwanted	honored, adored, celebrated, appealing, venerated, worshipped, revered, desirable, august, wanted, fortunate
illdefined	well_defined
implausible	plausible
civilian	military, paramilitary
cross	pleasant
renowned	unknown
unambiguous	ambiguous, equivocal
dim	undimmed, radiant, bright, iridescent
principled	unprincipled, cynical, crooked, dishonest
acrid	fragrant
humorless	humourous, humorous, funny, witty
accomplished	underachieving
large	skimpy, little, small, poky
risky	safe
unbearable	tolerable
concerned	unconcerned
pallid	tanned, colourful
impassioned	passionless
solemn	cheeky, frivolous
egoistical	altruistic, selfless
macho	feminine, limp-wristed, unmanly, female
central	peripheral, secluded, suburban
inviolable	violable
unenclosed	enclosed
liable	immune
persistent	temporary
orthodox	subversive
bold	frightened, meek, timid, cowering, trembling, scared, cowardly, diffident, weak
verdant	barren
unobtrusive	outrageous, noticeable, obtrusive
fascinating	unremarkable
predatory	caring, abstemious, sappy
insubstantial	substantial, solid, physical, meaty, dense, real, material
demur	brazen
beefy	under-nourished
noncivilised	civilized, civilised
bandy	straight
supervisory	subordinate
strengthened	weakened, vulnerable
conservative	eccentric, bohemian, liberal, punk, rebellious
compendious	limited
soppy	dry
aimless	purposeful, relentless, directed, determined, crusading
lonesome	popular
powerful	fragile, frightened, meek, spineless, scared, deposed, limp, ineffective, domesticated, helpless, harmless, impotent, pathetic, dethroned, ineffectual, powerless, weak, inferior, contemptible, toppled, tamed, puny
assaulting	retreating
zealous	indifferent
unreasonable	sensible, reasonable
revelatory	uninformative
abnormal	normal
slow	brisk, rapid, swift, speedy, fleet, quick, fast, fastpaced, snappy, swiftfooted
wealthy	wretched, broke, destitute, poor
synthetic	natural, analytic
syrupy	sour
expensive	inexpensive, affordable, cheap
curly	straight
disheveled	tidy
brainwashed	impartial, defiant, independent, nonpartisan
rural	metropolitan, urban
royal	lowly, subservient, bedraggled, unwashed, destitute, inferior, unimportant, common
uncomplete	complete
misshapen	well-formed, wellformed
patriotic	disloyal, unpatriotic
morose	upbeat
nonchalant	flustered, authoritarian
intemperate	temperate
silent	loud
arhythmic	rhythmic
inactive	lively, active, operational
single	attached
honourable	dishonorable
serious	laughable, goofy, lighthearted, silly, flippant, frivolous, flip, jocular, whimsical, playful
gorgeous	frumpy, ugly
female	masculine, macho
anxious	complacent, calm, laidback, carefree, blithe, stoic, unflappable, imperturbable
refreshing	unwelcome
malodorous	fragrant
furtive	upstanding
ridiculous	sublime, awesome, magnificent, subtle
excitable	placid
educational	uninformative
unplayable	playable
sexless	sexual
absorbent	nonabsorbent, nonabsorptive
hazy	clear
unattractive	fetching, tempting, alluring, seductive, winsome, stunning, worthy, handsome, pretty, presentable, sexy, buff, nubile, attractive, picturesque
timorous	menacing
saved	stranded, lost
edifying	unedifying
secret	well_known, public
chipper	depressed
banal	striking, shocking, fantastic, wistful, hairraising, revolutionary, amazing, grand, transcendent, super, poetic, extraordinary, breathtaking, aweinspiring
extraordinary	normal, received, banal, mundane, pedestrian, humdrum, ordinary
inventive	unoriginal
frivolous	great, grave, severe, solemn, serious
probable	improbable
peevish	contented, delighted, pleasant
multiform	uniform
busy	lazy, idle, retired
invisible	visible, conspicuous
antisocial	gregarious, companionable, social, sociable
void	substantial
tasteful	tasteless
unspoiled	pampered, spoiled
disguised	apparent
conniving	honorable, honest
heavenly	earthly
slender	fat, bloated
real	unreal, unsubstantial, fictional, insubstantial
gutless	plucky
uncontrolled	controlled
distracted	focussed
dowdy	glamorous
uninformative	trenchant, prophetic, telling, informative, illustrative, revelatory, educational
beloved	damned, despicable, infamous, lonely, dreaded, feared, shunned, brutal, condemned, hateful, despised, cursed, vile, contemptible, oppressive, hated, ugly, miserable, cruel, unloved
unretentive	retentive
loving	uncaring
oppressive	supportive, beloved
waterproof	permeable
divided	united
lissom	stiff
likely	improbable
devious	honorable, trustworthy
sensual	mechanical
regimented	scattered, undisciplined, chaotic, messy, disordered, disorganized, cluttered
drastic	uneventful
toppled	conquering, dominating, reigning, controlling, enthroned, dominant, domineering, triumphant, ruling, crowned, powerful, commanding, throned
chilly	warm
experimental	traditional
chewy	runny
rounded	square
subordinate	reigning, leading, dominant, ruling, independent, supervisory
cheerful	depressed, cheerless, bleak
senior	junior
devout	irreligious, faithless
pink	colorless
unchangeable	changeable, changeful
substantiated	unfounded
unmotivated	motivated
loyal	faithless, disloyal, unpatriotic
straight	curved, loopy, bent, wriggly, coiled, twisted, bandy, curly, frizzy, crooked, kinky, twisty
effortful	effortless
nonarbitrary	arbitrary
objective	subjective
uncharacteristic	characteristic
plucky	gutless
hotheaded	coolheaded
ambiguous	univocal, unambiguous, unequivocal
natural	unreal, unnatural, supernatural, artificial, synthetic
decorative	functional
chuffed	sad
defenseless	overpowering, protected, invulnerable, reinforced, guarded, fortified, walled, armed
interactive	sullen
presentable	unattractive
worrisome	reassuring
untempered	hardened
indulgent	strict
sparkly	dull
messy	organized, neat, tidy, clean, regimented
general	local, detailed, specific
ludicrous	believable, magnificent
toned	toneless
durable	brittle, flimsy
slim	chunky, bovine, fatty, fat, overweight, bigbellied, bloated, obese
ill-smelling	fragrant
wet	dry
sporty	dull, limp, crippled, lazy, lame, lethargic, tame, boring
indecisive	decisive
accessible	inaccessible, isolated, elusive, unaccessible, impenetrable, unapproachable
little	big, large
hated	honored, adored, celebrated, venerated, loved, worshipped, revered, august, beloved
solitary	sociable
secretive	public
smart	dumb, unintelligent, brainless, nutty, stupid
placid	rowdy, stormy, fierce, devastating, excitable
intent	purposeles
flattering	uncomplimentary, insulting, unflattering
wee	huge
foreboding	auspicious
stuck	unstuck
paranoid	complacent
obtrusive	unobtrusive
nondescript	unmistakable, flamboyant, unique
nonfatal	fatal
edible	inedible, poisonous, uneatable
commanding	meek, cowering, compliant, deposed, subservient, passive, dethroned, powerless, docile, uninspiring, toppled, submissive
opened	closed
unlikable	appealing, lovable, sympathetic, likable, likeable, adorable
disorderly	geometric, orderly, ordered, united, mobilized, unified, cohesive
discriminating	impartial, indiscriminate
frizzy	straight
unladylike	ladylike
material	insubstantial
bigamous	monogamous
unsatisfying	satisfying
implacable	conciliatory
precocious	retarded
unentertaining	entertaining, enjoyable, delightful
comfortable	uncomfortable, queasy, cramped, torturous, insecure, miserable
surreal	realistic
expressive	pokerfaced, blank, mute, sullen
unequivocal	ambiguous, equivocal
urban	rural
hydrophobic	hydrophilic, thirsty
spirited	lifeless, spiritless, docile
claustrophobic	spacious
ladylike	unladylike
knowable	unfathomable
throned	deposed, dethroned, conquered, exiled, toppled
flashy	dull, understated
voluntary	involuntary
untied	tied
radioactive	inert
flamboyant	nondescript
living	extinct
discernable	indiscernible
empathic	insensitive
armed	helpless, unarmed, defenseless
untidy	fastidious, neat, tidy, unified, cohesive
antique	modern
exterior	interior, inner, inward
interior	exterior, outward, outer
inward	outward, outer, exterior
outward	inward, inner, interior
inner	outer, outward, exterior
outer	inner, inward, interior
private	public, communal
defensive	unprotected, complacent, unguarded
quotidian	surrealistic
shapely	unshapely, lumpen, shapeless, formless
unwrinkled	wrinkled
easygoing	exacting, authoritarian
frozen	hot, liquid, flowing, animated
fishy	typical
indirect	direct
prudish	obscene, licentious
progressive	regressive
unpatterned	patterned
liberal	conservative
shiny	unpolished, rusty
sexy	unsexy, fugly, unattractive, ugly, disgusting
refractory	thoughtless
exhilarating	dull, boring
incontinent	continent
short-legged	leggy
unbroken	shattered
uncaring	solicitous, caring, maternal, loving
insanitary	sanitary
frustrated	happy
entertaining	boring, unentertaining, dull, annoying
enticing	unappealing
mundane	striking, great, incredible, fantastic, exotic, radical, spectacular, rare, miraculous, amazing, magical, extraordinary, esoteric
wrinkled	smooth, tidy, handsome, unwrinkled
wellformed	misshapen
indestructible	fragile, tinny
anal	oral
numerate	innumerate
naughty	well-behaved, proper, decent, wholesome
unmindful	aware
unrestrained	enslaved, shackled, oppressed, indentured, manacled, unfree, caged, bound, chained, trapped, restrained
wise	ignorant, childish, foolish, imprudent
underprivileged	rich, privileged
lustrous	dull
highpitched	deep
hard	diffuse, squishy, delicate, soft, weakened
violet	colorless
timeless	faddish
tonedeaf	musical
unthinking	considerate, meditative, strategic, thoughtful, insightful, reflective, mindful, cerebral, analytical
influential	disenfranchised
wiry	thick
ornery	affable
dramatic	predictable, undramatic, boring
moronic	intelligent
foul-smelling	aromatic
unique	nondescript, undistinguished
alienated	popular
unprofessional	honorable, dignified, professional, tinkering
invasive	unintrusive, noninvasive
encouraging	discouraging, demoralizing
unflappable	anxious
bloated	focused, thin, handsome, slender, slim
dyslexic	fluent
nonhierarchical	hierarchical
homogenous	varied, heterogeneous
atypical	representative
inscrutable	obvious
dessicated	luscious
leaden	light
calculative	uncalculating
humourless	humourous, humorous
exacting	sloppy, easygoing
sighted	blind
selfcentered	selfless
stinging	soothing
efficacious	useless, ineffective, ineffectual, inefficacious
esoteric	mundane
mincing	strident
camouflaged	complacent, forthright, welcoming, candid, unguarded, transparent
undefined	defined
churlish	affable, polite
rumpled	smooth, tidy, respected
unbalanced	symmetric, balanced
occupied	unoccupied
retentive	forgetful, unretentive
unassigned	assigned
uncultured	courtly, chivalrous, cultured
unappetising	appetizing
chirpy	depressed
appreciative	ungrateful
tasty	disgusting, tasteless, bland
second-class	kingly, titled, noble
small	great, big, hefty, grand, huge, large, vast
showy	understated
frosty	warm
untangled	tangled
salubrious	unwelcoming
provincial	cosmopolitan
outgoing	shy
irrepressible	pessimistic
brutish	delicate, genteel, handsome, cultured
intractable	tractable
balanced	imbalanced, unbalanced
cozy	uncomfortable
professional	unprofessional
dogmatic	flexible
failed	successful
cultured	uncouth, ignorant, rude, uneducated, feral, illiterate, thick, uncultured, brutish, crass
unreachable	attainable, reachable
volatile	inert
misbegotten	sleek
unsensational	sensational
menacing	meek, domesticated, mild-mannered, unthreatening, friendly, pathetic, gentle, powerless, docile, inoffensive, tame, timorous
streetwise	inexperienced
motivated	demoralized, unmotivated
sanitized	unhygienic
social	antisocial
characteristic	uncharacteristic
delicious	disgusting
unsustainable	sustainable
dependable	unreliable, undependable
shrunken	swollen
exuberant	lifeless
sentient	insentient, insensate, brainless
dangerous	safe
jobless	rich
butch	camp
specific	vague, nebulous, nonspecific, general
regular	irregular
deceitful	honorable
troubled	merry, untroubled, privileged, happy
unimpressive	impressive, eminent, magisterial, grandiose, famous, prodigious
shaven	unshaven
inequitable	just
eager	indifferent
bleak	cheerful
baggy	fitted
flip	serious
discriminatory	impartial
unfounded	substantiated
disordered	organized, ordered, regimented
myopic	farsighted
repressed	adventurous
giddy	passionless, unenthusiastic, inert
autocratic	democratic
uneffective	effective
harried	pampered, spoiled
poor	extravagant, rich, prestigious, pampered, privileged, exalted, prosperous, spoiled, lofty, glamorous, wealthy
tinny	armored, indestructible
cut	uncut
coolheaded	hotheaded
watery	creamy, parched
affordable	expensive
unattainable	attainable
mental	sane
tamed	untamed, powerful, wild
exposed	overdressed
buff	unfit, unattractive
close	remote, distant
equivocal	univocal, unambiguous, unequivocal
indecent	decent
non-deterministic	deterministic
jocular	serious
wily	daft, stupid
unbending	flexible
forgettable	unforgettable, haunting, catchy, mythological, memorable
shivering	robed
effervescent	flat
colourful	colourless, colorless, pallid
nasty	lovable, nice, cute, attractive, pleasant
cultural	unsophisticated
stark	baroque, lush
left	right
unimportant	great, urgent, prestigious, exalted, lofty, significant, royal, important
labyrinthine	straightforward
corny	original
incompetent	skilled, proficient, talented, thorough, capable, competent, respected
morbid	jolly
wild	domesticated, tame, tamed
determinate	unknown, indeterminate
readable	illegible
current	outdated, outmoded
misleading	informative
short	long, lanky, lengthy, tall
foul-mouthed	dignified
mature	green, childish, unripe, unfledged, unripened, impish, immature
shorn	woolly
unaccountable	accountable
formless	delineated, chiseled, shapely
disenchanting	spellbinding
intrepid	scared, cautious, prudent, straightlaced, fearful
pedestrian	riding, extraordinary
unfocussed	singleminded, focused, directed, focussed
fascinated	indifferent
relevant	irrelevant
believable	incredible, unbelievable, ludicrous
juicy	dehydrated, juiceless, shriveled, dry
constructive	destructive
common	exalted, uncommon, royal
fluffy	sleek
unpromising	promising
insufficient	sufficient
compromising	uncompromising, crusading
merciless	compassionate, merciful
unthankful	grateful
unstructured	structured
squeezable	rigid
vocal	shrill
reserved	unreserved
ugly	photogenic, exquisite, becoming, dainty, stunning, aesthetic, beautiful, handsome, pretty, godly, gorgeous, beloved, sexy, cute, picturesque
unregistered	registered
focussed	directionless, diffuse, disoriented, dizzy, unfocused, distracted, unfocussed
disabling	enabling
thoughtless	astute, thoughtful, mindless, attentive, cerebral, heedful, refractory
nubile	unattractive
routine	unconventional
distasteful	handsome, dignified
obese	thin, slim
poky	large
frigid	warm
witty	humorless
bumpy	smooth, flat
calculating	naive
non_binding	binding
official	unofficial
moist	desiccated, dry
proper	improper
trapped	unconstrained, carefree, unrestrained, free
burntout	energetic
breathtaking	banal
unaccepting	accepting
undiluted	dilute
unconscientious	conscientious
mechanical	biological, sensual, emotional
excluded	privileged
nonfunctional	functional
spruce	dull
cosy	uncomfortable, spartan
whimsical	steadfast, serious
unemotional	emotional
artful	ingenuous, artless, naive
enabling	disabling
unitary	fragmented
attenuated	substantial
contemporary	old-fashioned
non-aquatic	aquatic
homely	beautiful
miserable	merry, rich, happy, worthy, contented, joyful, fortunate, beloved, comfortable, magnificent
unwelcome	welcome, refreshing
finicky	carefree
inexplicit	explicit
thriving	extinct, razed, dead
deficient	sufficient
distant	intimate, close
prescriptive	proscriptive
coy	frank, candid, boastful, attacking, rampaging, unflinching
overt	covert
following	leading
inneffective	strong
core	incidental
infallible	ignoble, fallible
sociable	unsociable, reclusive, antisocial, solitary
total	incomplete
unperturbed	shocked
reachable	unreachable
welldefined	vague, nebulous
gangly	well_built
crooked	honorable, erect, straight, honest, principled
authoritarian	leisurely, aidback, congenial, casual, carefree, informal, mellow, nonchalant, easygoing, freewheeling, open_minded
disorganized	organized, methodical, organised, systematic, focused, disciplined, harmonious, united, tidy, mobilized, unified, regimented, cohesive
freewheeling	authoritarian
lean	rich, fat, flabby, stout, brawny
angular	smooth
unwomanly	feminine
permeable	impermeable, bulletproof, waterproof
playful	sober, unplayful, serious
inspirational	boring
outcast	anointed, honored, adored, celebrated, venerated, worshipped, revered, august
magnificent	disgusting, wretched, lackluster, lowly, pitiable, insignificant, ineffective, foolish, desperate, mediocre, pathetic, pitiful, powerless, contemptible, ridiculous, ludicrous, miserable, puny
flat	humped, foamy, billowy, sparkling, frothy, effervescent, bumpy, prismatic, mountainous, hierarchical
humid	dry
unlikeable	appealing, sympathetic, likable, likeable
unflinching	coy
figurative	literal
suggestible	steadfast
revokable	irrevocable
crusading	frightened, indifferent, selfish, purposeless, cynical, aimless, compromising, fearful
unappetizing	appetising, appetizing
ungainly	dainty, handsome, nimble, agile
subversive	conformist, orthodox
famous	inconspicuous, unremarkable, innocuous, infamous, anonymous, obscure, unimpressive
cruel	caring, honorable, kind, gay, pleasant, beloved
worn	new
stale	fresh, bubbly, foamy, fizzy
generous	grudging, mean, miserly, ignoble, stingy, selfish, paltry, meanspirited, cheap
unhygienic	sanitary, antiseptic, hygienic, sanitized, healthful
windy	airless
reasonable	unreasonable
prismatic	flat
impish	dreaded, mature
unobvious	perceptible
selfless	ignoble, greedy, self-centered, self-centred, selfindulgent, selfish, rapacious, self_indulgent, selfserving, egocentric, egoistical, selfcentered
fruitless	promising
inarticulate	fluent, eloquent, articulate
subtle	coarse, blatant, obvious, palpable, imposing, unsubtle, ridiculous, crude
phony	authentic
tantalising	unappealing
effective	ineffective, ineffectual, uneffective
uninteresting	great, titillating, interesting, irresistible
polychromatic	monochromatic
vivacious	lifeless, dead
mountainous	flat
illogical	logical
unoriginal	original, inventive
frustrating	conducive, fortunate
crude	refined, regal, courtly, charismatic, chivalrous, poised, worthy, dignified, deified, subtle, pure
plodding	swift, fleet
unloved	loved, dear, beloved
stable	slippery, unstable
wireless	wired
luddite	technological
loosejointed	stiff_jointed
creepy	gay, seductive
cool	warm, hot
inorganic	organic
turgid	dynamic
surrealistic	normal, quotidian
sacrificing	self_indulgent
skittish	calm, relaxed, surefooted
shortlived	longlived
open_minded	dismissive, coercive, authoritarian
wrinkly	smooth
confusing	sensible
aged	youthful
pure	impure, corrupt, stagnant, ignoble, rank, unrefined, riddled, dirty, perverted, crude
soulless	soulful, spiritual
wide	narrow
fearful	brave, undaunted, fearless, courageous, stoic, intrepid, crusading
kinky	straightlaced, straight
flimsy	impressive, armored, mighty, fortified, solid, sturdy, stolid, resilient, rigid, flinty, durable
unessential	essential
optimistic	crestfallen, pessimistic, despairing, fatalistic, forlorn, discontented
complex	simple
rarified	dense
important	ignoble, innocuous, insignificant, trivial, inconsequential, irrelevant, worthless, unimportant
swollen	handsome, shrunken
attractive	hideous, loathsome, unsightly, fugly, unbecoming, repulsive, unattractive, nasty
adept	clumsy
submissive	arrogant, reigning, leading, prestigious, haughty, dominant, domineering, assertive, ruling, lofty, commanding
unaffected	affected, moved
staid	adventurous
scummy	honorable, pristine
malodourous	fragrant
undistinguished	distinguished, peculiar, distinctive, unique
exciting	dull, unexciting, boring, hohum, tedious
cheap	extravagant, regal, dignified, costly, deified, expensive, generous
stabile	chaotic, unstable
ragged	smooth, robed, tidy, handsome
curious	indifferent, disinterested
affected	unaffected
crazy	sane
orientated	disoriented
unperceptive	perceptive
meager	ample
overburdened	pampered, spoiled
unsafe	secure, safe
promising	inauspicious, futile, unpromising, fruitless
hierarchical	nonhierarchical, flat
reactive	proactive, inert
nonintegrated	integrated
cuddly	fearsome, dreaded, threatening, uninviting
moved	unaffected
controlled	uncontrolled
prodigious	unimpressive
hiding	attacking
cranky	affable
unconfined	confined
selfsustaining	dependent
regressive	progressive
checkered	plain
nonviolent	violent, conquering, destructive
indiscriminate	discriminating
effortless	effortful
cold	tropical, scorching, balmy, warm, hot, sweltering
boorish	charming, courtly, chivalrous, dignified, enchanting
deprived	privileged
dexterous	clumsy, awkward
unseaworthy	seaworthy
proscriptive	prescriptive
puny	great, burly, mighty, grand, majestic, huge, powerful, magnificent
predetermined	unpredictable
rustic	sophisticated
wiggly	stiff
accepting	unaccepting
tainted	pristine
adorned	undecorated, unadorned
contentious	passe
defeated	conquering, undefeated, triumphant, jubilant, attacking, winning, rampaging
enlightened	unenlightened
irritating	soothing
humdrum	extraordinary
unpleasant	gay, agreeable, enjoyable, pleasurable, pleasant
emotional	emotionless, rational, mechanical, unemotional
punk	straightlaced, conservative
unendearing	endearing
sedentary	energetic, restless
monochrome	patchy
analytic	synthetic
pornographic	prim
expectant	surprised
irate	pleasant
unapproachable	humble, affable, friendly, unpretentious, informal, gracious, companionable, accessible, approachable
blackandwhite	multicolored
nonpartisan	brainwashed
evocative	unremarkable
surefooted	awkward, skittish
irresistible	uninteresting
retrograde	direct
bare	shaggy, covered, robed, overdressed
experienced	untrained, inexperienced
vast	small
coldblooded	caring
wobbly	sturdy, steady
livable	unlivable, unliveable
unmerciful	merciful
macabre	upbeat
unliveable	livable
melodic	unmusical, shrill, unmelodious
gushing	dry
exhaustive	undisciplined
notable	unremarkable
human	inhuman
irrational	cerebral, rational
gallant	ungallant
pungent	bland
negligible	significant
licentious	prudish
hedonistic	puritanical
undemocratic	democratic
knobbly	smooth
balding	handsome
sluggish	perky, swift, peppy, vigorous, energetic, quick, sprightly, dynamic, keen, hyperactive
imperturbable	anxious
hardened	delicate, soft, weakened, untempered
cohesive	incoherent, fragmented, chaotic, disorderly, untidy, disorganized
sitting	standing, retired
iridescent	dim
free	enslaved, shackled, oppressed, indentured, manacled, captive, addicted, unfree, caged, constricted, bound, chained, trapped
intolerant	tolerant
satisfying	unsatisfying
allknowing	ignorant
approachable	untouchable, unapproachable
unromantic	romantic
crushed	conquering, winning
gradual	steep, abrupt, sudden
nonpolitical	political
twisty	linear, straight
immature	old, ripe, dreaded, mature
counterfeit	genuine
cute	disgusting, fearsome, unsightly, dreaded, threatening, nasty, ugly
picturesque	disgusting, scarred, spoiled, unattractive, ugly
anemic	fullblooded
husky	frail
bewildering	understandable
hyperactive	sluggish
toneless	toned
imperishable	perishable
gaunt	muscular
healthful	poisonous, unsanitary, unhealthy, unhygienic
glum	mordant
cluttered	regimented
coordinated	uncoordinated
unfair	just, impartial, fair, fortunate
brawny	wimpy, skinny, scrawny, weak, lean
rebellious	conservative, obedient
uncontroversial	controversial
obedient	impudent, arrogant, disobedient, reigning, leading, insubordinate, haughty, defiant, ruling, rebellious
traumatized	pampered, spoiled
improper	proper
non-addictive	habitforming
encompassing	minor
constant	capricious, fickle, inconstant
clunky	fluid, streamlined, poised, manoeuvrable, aerodynamic
simplistic	multifaceted
flightless	airworthy
crunchy	soggy
sticky	dry
languid	wired, frenetic, hardworking
trusting	skeptical, suspicious, distrustful
essential	inessential, unessential
comprehensive	incomplete, patchy
restrained	greedy, voracious, emancipated, liberated, unrestrained
aweinspiring	banal
adroit	clumsy, maladroit
crass	honorable, artistic, charming, genteel, decorous, courtly, sensitive, chivalrous, dignified, godly, cultured
communist	corporate
spacious	constrictive, confining, cramped, claustrophobic
ordinary	special, extraordinary
immaculate	filthy, dirty
selfrighteous	modest
unlawful	lawful, legal
unimaginative(	dashing, imaginative, creative
incendiary	passive, inert, calm
